trial,validation_pid_tv,validation_pid_cross_entropy,validation_pid_accuracy,best_epoch,parameters,batch_size,dropout,hidden_layers,hidden_width,learning_rate,lr_schedule,weight_decay
0,0.016768313812907772,0.98486462153316,0.6787555320860994,50,1859460,8192,0.10643337435636908,4,768,0.0012368881762211024,cosine,0.00013032287654334365
1,0.015074019575196844,0.9796938648815726,0.6798493763830216,50,359300,4096,0.09940668961041271,6,256,0.0019109681759892079,none,1.0954788495822224e-05
2,0.014034067869010545,0.9797655808040732,0.6799813920740294,50,3043716,4096,0.05901995560607781,6,768,0.003421489688153469,none,2.367186718676158e-05
3,0.015796388285399147,0.9793308545971895,0.6798745222289277,50,3043716,8192,0.1109986275022804,6,768,0.002262801061012836,none,0.00022828716272720596
4,0.021381525143373863,0.9843236333742106,0.6793213136189902,50,226692,8192,0.03,4,256,0.001,none,1e-05
5,0.009776089452176876,0.976973822744673,0.6804025849929591,50,3043716,4096,0.14181331057099705,6,768,0.002958454985358802,cosine,0.00014951169938564305
6,0.013373088233568609,0.9784517812071803,0.6801636994568497,46,1373828,4096,0.07233241051963495,6,512,0.0023666045236253293,none,0.00012813088264702533
7,0.01739288939691271,0.9869121058297526,0.678428636089318,50,846468,8192,0.14666273476687586,4,512,0.001408965447327906,cosine,9.262014181404188e-05
8,0.014715200276098291,0.9821531963022248,0.6798179440756387,50,1859460,8192,0.06852168321066243,4,768,0.0017974951992791534,cosine,1.635212616491584e-05
9,0.010662837233454415,0.9777396557988642,0.6805031683765842,50,3043716,4096,0.1428553490753292,6,768,0.0019503276210948162,cosine,0.00012220736337473922
10,0.00910401082313988,0.9769414160674161,0.6804780225306779,50,3043716,4096,0.14046985701659656,6,768,0.0033596374211420105,cosine,5.849721620639462e-05
11,0.009753069609175753,0.9773727524834508,0.6806854757594045,48,3043716,4096,0.07499474919971454,6,768,0.0014330342145714217,cosine,0.0002809547214994083
12,0.009533774215353612,0.9767378100781008,0.6805157412995373,47,3043716,4096,0.13568602017775733,6,768,0.0029305683574962324,cosine,2.4440113932656793e-05
13,0.009220205710649835,0.976901203591779,0.680622611144639,50,3043716,4096,0.13978063767992624,6,768,0.0030030213159743867,cosine,2.8505304874405366e-05
14,0.009576814144606791,0.9770046087655233,0.6804277308388654,50,3043716,4096,0.140350610230557,6,768,0.003094420196976905,cosine,2.2715326052627347e-05
15,0.009894152197587694,0.9769822903092875,0.6805157412995373,50,846468,4096,0.14730594117940132,4,512,0.003086875344436488,cosine,7.74852385729265e-05
