generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1551,0.015213768363564167,0.01221345839895871,2112,1.0,0.9999999994591747
-211,pi-,1,1.0,2.0,False,5686,0.0065595298633064295,0.003269801774575143,-211,0.9999999999999999,1.000000000566209
-211,pi-,2,2.0,3.0,False,6562,0.005420316269592873,0.0032475958200762767,-211,1.0,0.9999999990096904
-211,pi-,3,3.0,4.0,False,6996,0.005558676512206149,0.003317620103359814,2112,1.0000000000000002,0.999999999225963
-211,pi-,4,4.0,5.0,False,7120,0.0087929634974459,0.006179448405666255,-2212,1.0000000000000002,1.0000000001583624
-211,pi-,5,5.0,6.0,False,6370,0.009757592679424318,0.007279014814366533,-2212,1.0,0.9999999999444051
-211,pi-,6,6.0,7.0,False,6084,0.009101879471527038,0.007236447865237944,-321,0.9999999999999999,1.0000000007736831
-211,pi-,7,7.0,8.0,False,4235,0.009088943483303821,0.00372880133549372,-321,1.0,1.0000000012091934
-211,pi-,8,8.0,9.0,True,1213,0.043871167680278884,0.02263120997651813,-211,1.0,1.0000000006813816
211,pi+,0,0.0,1.0,False,3116,0.004591920796460243,0.0030416158883950217,211,0.9999999999999999,0.9999999991824315
211,pi+,1,1.0,2.0,False,7417,0.003946647725633851,0.002596524224494915,2212,1.0,0.999999998132837
211,pi+,2,2.0,3.0,False,7822,0.011069774218233512,0.00950543909438184,211,0.9999999999999999,1.0000000015234185
211,pi+,3,3.0,4.0,False,8115,0.008095815061357942,0.003445568673705164,45,0.9999999999999999,0.9999999998000851
211,pi+,4,4.0,5.0,False,8150,0.012834198366509342,0.006274396985243624,321,1.0,0.9999999989534073
211,pi+,5,5.0,6.0,False,7664,0.010572585020482504,0.007489559448558433,22,1.0,1.0000000002633913
211,pi+,6,6.0,7.0,False,7303,0.011522477395822054,0.009362934216169294,211,0.9999999999999999,0.9999999991404102
211,pi+,7,7.0,8.0,False,5471,0.013627474832889076,0.008280754686518621,321,1.0,1.0000000000448956
211,pi+,8,8.0,9.0,True,1716,0.026122519843209176,0.018979149868403544,211,1.0,1.0000000006765155
2212,proton,0,0.0,1.0,False,3726,0.0014297324307729353,0.0009419195287528742,321,1.0,1.000000002193392
2212,proton,1,1.0,2.0,False,9189,0.003852025884385776,0.002587013917379484,2112,1.0,1.0000000003889284
2212,proton,2,2.0,3.0,False,10019,0.008216670775487756,0.0071517898390566215,2212,1.0,1.000000000804307
2212,proton,3,3.0,4.0,False,10235,0.0030751763760349876,0.0019567300167442347,2212,1.0,1.0000000002718725
2212,proton,4,4.0,5.0,False,10310,0.004874985941594349,0.0026901799397860138,22,1.0,1.0000000005267247
2212,proton,5,5.0,6.0,False,9204,0.015150600370947582,0.013817175186649266,2212,1.0,1.0000000003240153
2212,proton,6,6.0,7.0,False,3208,0.011135242353741857,0.00864489518798088,2112,1.0,0.9999999999372166
