species_pid,species,target,n,wasserstein_1d,observed_mean,observed_std,observed_q01,observed_q05,observed_median,observed_q95,observed_q99,sampled_mean,sampled_std,sampled_q01,sampled_q05,sampled_median,sampled_q95,sampled_q99,absolute_mean_difference,std_ratio
-211,pi-,delta_p,45817,0.04266779124736786,-0.7517400979995728,1.7334542274475098,-7.125682239532471,-5.153694820404053,-0.013357698917388916,0.10274659395217894,0.7244437432289088,-0.781390905380249,1.739487886428833,-7.13795597076416,-5.065980243682861,-0.02775484323501587,0.0973438978195189,0.7118428921699433,0.02965080738067627,1.003480714336604
-211,pi-,delta_theta,45817,0.0031034648418426514,0.0015743608819320798,0.10505542159080505,-0.3926572167873382,-0.1311796188354492,4.575727507472038e-05,0.17462398111820207,0.3576724433898918,0.0021836929954588413,0.09961359947919846,-0.3863029384613037,-0.12615960836410522,0.00028154184110462666,0.16487800180912016,0.3191594278812407,0.0006093321135267615,0.9482004638199187
-211,pi-,delta_phi,45817,0.02066577598452568,-0.002866263734176755,0.6315938830375671,-2.364786024093628,-0.952768337726593,0.000202239491045475,0.906333267688747,2.5894942378997703,-0.012816266156733036,0.5812313556671143,-2.2542093276977537,-0.9013341426849365,0.0012636184692382812,0.8061764717102046,2.1673948001861563,0.009950002422556281,0.9202612173375698
-211,pi-,delta_beta,45817,0.006576153915375471,-0.03607404977083206,0.09278181195259094,-0.45090726494789124,-0.2345482349395752,-0.002246469259262085,0.005884692445397372,0.011168293431401213,-0.03643050044775009,0.09179098904132843,-0.4048684060573578,-0.25508426427841185,-0.002654947340488434,0.008372459188103672,0.07310734331607799,0.0003564506769180298,0.9893209359635184
211,pi+,delta_p,56774,0.07915988564491272,-0.6277274489402771,1.6097760200500488,-6.958702416419983,-4.885184717178345,-0.009321361780166626,0.06766074001789084,0.31247275650501055,-0.692997395992279,1.653210163116455,-6.9530588817596435,-4.850654435157776,-0.023870110511779785,0.07685343325138087,0.4748952209949436,0.06526994705200195,1.026981482222015
211,pi+,delta_theta,56774,0.0028124433010816574,0.004151775501668453,0.09375514090061188,-0.38476037442684174,-0.04348890502005815,7.452815771102905e-05,0.1322393998503684,0.33470593303441964,0.00416026683524251,0.08736729621887207,-0.3711612963676453,-0.05133137106895447,0.0003847407642751932,0.13356446549296377,0.2942550545930859,8.491333574056625e-06,0.9318667262362558
211,pi+,delta_phi,56774,0.0143033592030406,0.004371132701635361,0.3595446050167084,-1.2520190012454986,-0.30617114901542664,-0.0006220501963980496,0.3504844605922692,1.4110691511630997,-0.0036242937203496695,0.36591383814811707,-1.4756053698062896,-0.38220207691192626,-0.0001386404037475586,0.3779793620109555,1.345443868637081,0.00799542642198503,1.0177147231318149
211,pi+,delta_beta,56774,0.006615626625716686,-0.02377242036163807,0.07740451395511627,-0.4048953548073769,-0.1623343236744404,-0.001748921349644661,0.00677095130085945,0.012610928118228911,-0.024963870644569397,0.07875078916549683,-0.3779094451665878,-0.2038721978664398,-0.002520333044230938,0.009539089538156976,0.08309660471975781,0.0011914502829313278,1.017392722227559
2212,proton,delta_p,55891,0.028803274035453796,-0.41633740067481995,1.1650543212890625,-5.199006795883179,-3.5496193170547485,-0.009338200092315674,0.044291526079177856,0.19757658839225758,-0.41212499141693115,1.1430740356445312,-5.043193006515503,-3.4503819942474365,-0.023709118366241455,0.05041399598121643,0.36403586864471316,0.004212409257888794,0.9811336817151913
2212,proton,delta_theta,55891,0.001964875962585211,0.005964298266917467,0.08436204493045807,-0.3356341063976288,-0.023010894656181335,9.675323963165283e-05,0.12383264303207397,0.32623339891433684,0.006988377310335636,0.0824093222618103,-0.33718745708465575,-0.02424946427345276,0.0002515115775167942,0.1308215856552124,0.30645686686038937,0.001024079043418169,0.9768530662069957
2212,proton,delta_phi,55891,0.0068963756784796715,0.0006283550756052136,0.3117733299732208,-1.1666581630706787,-0.22464900463819504,-0.0007718547713011503,0.27200213074684143,1.0798061013221738,0.002338882302865386,0.3032909333705902,-1.1918091893196106,-0.2142472267150879,-0.0004622936248779297,0.2714354991912842,1.1904751300811762,0.0017105272272601724,0.9727930653870901
2212,proton,delta_beta,55891,0.004158897791057825,-0.022629985585808754,0.07266835123300552,-0.3709335058927536,-0.15522531419992447,-0.002000296488404274,0.005805607885122299,0.013664875552058213,-0.022597908973693848,0.07163352519273758,-0.3480486661195755,-0.17412734776735306,-0.002839691936969757,0.007561195641756058,0.06887768656015383,3.207661211490631e-05,0.9857596047975569
