generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1551,0.12161033544129986,0.12161033488161557,2112,1.0,1.0000000011193684
-211,pi-,1,1.0,2.0,False,5686,0.0534798531427419,0.03450341543864266,-211,0.9999999999999999,1.0000000000932148
-211,pi-,2,2.0,3.0,False,6562,0.03714493115713429,0.026760984035288482,-211,1.0,1.0000000000739995
-211,pi-,3,3.0,4.0,False,6996,0.02660414172193717,0.014041507843774642,-321,1.0000000000000002,1.0000000002940097
-211,pi-,4,4.0,5.0,False,7120,0.03878317880072779,0.03072662715854227,-321,1.0000000000000002,0.9999999998003664
-211,pi-,5,5.0,6.0,False,6370,0.05203835403714164,0.02850987014501083,-211,1.0,1.0000000017373707
-211,pi-,6,6.0,7.0,False,6084,0.021957814621660632,0.009824933601032948,11,0.9999999999999999,1.0000000002860834
-211,pi-,7,7.0,8.0,False,4235,0.045947674697201395,0.03277424891713521,-321,1.0,0.9999999992395825
-211,pi-,8,8.0,9.0,True,1213,0.08004141051129267,0.05343799296112367,-321,1.0,0.9999999979340839
211,pi+,0,0.0,1.0,False,3116,0.05362885027843048,0.053256556296073065,211,0.9999999999999999,1.0000000001624314
211,pi+,1,1.0,2.0,False,7417,0.046413760518755086,0.03343334444870727,211,1.0,0.9999999997012591
211,pi+,2,2.0,3.0,False,7822,0.04225183459380729,0.03906000800653664,211,0.9999999999999999,1.0000000002256886
211,pi+,3,3.0,4.0,False,8115,0.03142715585890964,0.02102068582232221,-11,0.9999999999999999,0.9999999998881116
211,pi+,4,4.0,5.0,False,8150,0.04999065666941352,0.03417169170031334,321,1.0,0.9999999996056862
211,pi+,5,5.0,6.0,False,7664,0.044869652410154615,0.032689766886112775,-11,1.0,0.9999999996348784
211,pi+,6,6.0,7.0,False,7303,0.04669585242810063,0.025052537631982355,-11,0.9999999999999999,1.0000000005350822
211,pi+,7,7.0,8.0,False,5471,0.06649539441844908,0.051907304688686234,321,1.0,0.9999999996748402
211,pi+,8,8.0,9.0,True,1716,0.07532669865737254,0.05704411473515986,321,1.0,1.0000000003318235
2212,proton,0,0.0,1.0,False,3726,0.03853556659644888,0.0378217905743814,2212,1.0,0.9999999985325289
2212,proton,1,1.0,2.0,False,9189,0.03252641456385546,0.020006542730440446,2212,1.0,0.9999999993514572
2212,proton,2,2.0,3.0,False,10019,0.01245228769339124,0.00919897799818967,321,1.0,1.000000000023917
2212,proton,3,3.0,4.0,False,10235,0.019628826430062748,0.016066194454168903,2212,1.0,0.9999999991936844
2212,proton,4,4.0,5.0,False,10310,0.01639011483485507,0.006561952012127659,321,1.0,0.9999999996030506
2212,proton,5,5.0,6.0,False,9204,0.04707042165772465,0.044834774856927995,2212,1.0,1.0000000002213587
2212,proton,6,6.0,7.0,False,3208,0.05457046298095364,0.05121957135393729,2212,1.0,0.9999999996340792
