generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,reconstructed_pid,observed_count,coatjava_fraction,coatjava_standard_error,fm_mean_probability,fm_mean_standard_error,signed_difference_fm_minus_coatjava,absolute_difference
-211,pi-,0,0.0,1.0,False,1551,-2212,2,0.0012894906511927789,0.0009112195104176987,0.005974600209888317,9.175585612593736e-05,0.0046851095586955376,0.0046851095586955376
-211,pi-,0,0.0,1.0,False,1551,-321,15,0.009671179883945842,0.00248498367875662,0.016209280724355405,0.0002227394581381508,0.006538100840409563,0.006538100840409563
-211,pi-,0,0.0,1.0,False,1551,-211,812,0.5235332043842682,0.012681847810501523,0.6004725877356691,0.008248905302637513,0.07693938335140094,0.07693938335140094
-211,pi-,0,0.0,1.0,False,1551,-11,0,0.0,0.0,1.544980931469567e-05,1.888267355309706e-07,1.544980931469567e-05,1.544980931469567e-05
-211,pi-,0,0.0,1.0,False,1551,11,1,0.0006447453255963894,0.000644537443815846,0.003106410972476132,3.555676970233081e-05,0.0024616656468797425,0.0024616656468797425
-211,pi-,0,0.0,1.0,False,1551,22,141,0.09090909090909091,0.0072996395563475714,0.09474718060193141,0.0019307783343898083,0.003838089692840496,0.003838089692840496
-211,pi-,0,0.0,1.0,False,1551,45,0,0.0,0.0,8.41497899537708e-05,2.273673154047428e-06,8.41497899537708e-05,8.41497899537708e-05
-211,pi-,0,0.0,1.0,False,1551,211,1,0.0006447453255963894,0.000644537443815846,0.015379027057848193,0.00044576724048306376,0.014734281732251804,0.014734281732251804
-211,pi-,0,0.0,1.0,False,1551,321,0,0.0,0.0,0.0003356521917713824,5.335091479751576e-06,0.0003356521917713824,0.0003356521917713824
-211,pi-,0,0.0,1.0,False,1551,2112,570,0.36750483558994196,0.012242052420177866,0.24589450070832639,0.006939038215139446,-0.12161033488161557,0.12161033488161557
-211,pi-,0,0.0,1.0,False,1551,2212,9,0.005802707930367505,0.0019286159088033733,0.017432227939377747,0.001312869700535497,0.011629520009010241,0.011629520009010241
-211,pi-,0,0.0,1.0,False,1551,OTHER,0,0.0,0.0,0.0003489333784559638,1.7462761487044644e-05,0.0003489333784559638,0.0003489333784559638
-211,pi-,1,1.0,2.0,False,5686,-2212,64,0.011255715793176222,0.0013990238704948777,0.014773750473555097,9.820505352829009e-05,0.0035180346803788745,0.0035180346803788745
-211,pi-,1,1.0,2.0,False,5686,-321,134,0.023566654941962716,0.0020117168097994343,0.034131929038334216,0.00020587712750365163,0.0105652740963715,0.0105652740963715
-211,pi-,1,1.0,2.0,False,5686,-211,4126,0.7256419275413296,0.00591720516907389,0.691138512102687,0.0036336079742555643,-0.03450341543864266,0.03450341543864266
-211,pi-,1,1.0,2.0,False,5686,-11,1,0.00017587055926837847,0.00017585509336154047,2.6850305463701194e-05,2.2646587801632052e-07,-0.0001490202538046773,0.0001490202538046773
-211,pi-,1,1.0,2.0,False,5686,11,8,0.0014069644741470278,0.0004970869989686983,0.00399178549034733,2.0045920675590265e-05,0.002584821016200302,0.002584821016200302
-211,pi-,1,1.0,2.0,False,5686,22,546,0.09602532536053465,0.003907217593491238,0.07721585388591161,0.0009869640979932638,-0.018809471474623043,0.018809471474623043
-211,pi-,1,1.0,2.0,False,5686,45,1,0.00017587055926837847,0.00017585509336154047,0.00015792463020423725,2.7583897845654126e-06,-1.7945929064141217e-05,1.7945929064141217e-05
-211,pi-,1,1.0,2.0,False,5686,211,13,0.0022863172704889203,0.0006333850157937714,0.01073178848567113,0.00019781874375422465,0.00844547121518221,0.00844547121518221
-211,pi-,1,1.0,2.0,False,5686,321,0,0.0,0.0,0.0005065470763713112,4.503831676554445e-06,0.0005065470763713112,0.0005065470763713112
-211,pi-,1,1.0,2.0,False,5686,2112,723,0.12715441435103764,0.0044180538316296375,0.15323150309337996,0.0029706485166654554,0.026077088742342325,0.026077088742342325
-211,pi-,1,1.0,2.0,False,5686,2212,70,0.012310939148786493,0.0014623532227041138,0.013714239794015667,0.0006104687520978214,0.0014033006452291736,0.0014033006452291736
-211,pi-,1,1.0,2.0,False,5686,OTHER,0,0.0,0.0,0.00037931571727358734,1.6935190397097227e-05,0.00037931571727358734,0.00037931571727358734
-211,pi-,2,2.0,3.0,False,6562,-2212,241,0.03672660774154221,0.002321919064400108,0.030402565593003566,0.00016958315649813073,-0.006324042148538645,0.006324042148538645
-211,pi-,2,2.0,3.0,False,6562,-321,334,0.05089911612313319,0.002713271145312971,0.06590323480750188,0.0003382724965782053,0.015004118684368684,0.015004118684368684
-211,pi-,2,2.0,3.0,False,6562,-211,4523,0.6892715635476989,0.005713043984467139,0.6625105795124104,0.002989332359564704,-0.026760984035288482,0.026760984035288482
-211,pi-,2,2.0,3.0,False,6562,-11,0,0.0,0.0,4.792066457492085e-05,2.4224156541164625e-07,4.792066457492085e-05,4.792066457492085e-05
