contrast,control,treatment,metric,control_mean,control_sd,treatment_mean,treatment_sd,n_pairs,mean_improvement,median_improvement,improvement_sd,ci95_low,ci95_high,favorable_pairs,exact_sign_flip_p
beta_input_without_target,A_original,B_beta_input,macro_weighted_bin_tv,0.03440470259857095,0.005406121321897474,0.03413032977213929,0.0044537089965463765,10,0.00027437282643166425,-7.336890802278964e-05,0.0028818410416619256,-0.0017872111029505772,0.0023359567558139055,5,0.771484375
beta_input_without_target,A_original,B_beta_input,macro_correct_mae_unweighted,0.01851186313721933,0.004049863166194201,0.018125582521431406,0.0027890973510848343,10,0.0003862806157879208,-0.00018759839242849918,0.0032041981113482346,-0.0019059080363325316,0.002678469267908373,5,0.70703125
beta_input_without_target,A_original,B_beta_input,macro_correct_mae_weighted,0.01618645099592403,0.0037227071299839915,0.015845929337992337,0.002506111051019236,10,0.0003405216579316941,0.0004293421379923251,0.0030450298232532137,-0.001837802703945066,0.0025188460198084543,6,0.73046875
beta_input_without_target,A_original,B_beta_input,test_pid_cross_entropy,1.0060521359302463,0.0071724435024796505,1.0057193936661037,0.006225700196090654,10,0.00033274226414253816,0.00026274334400344657,0.002376541203688849,-0.00136736509161023,0.0020328496198953063,6,0.66015625
beta_input_without_target,A_original,B_beta_input,correct_mae_unweighted_pi_minus,0.014037443824930967,0.0045092258353849,0.015602047320766152,0.0046333769323042675,10,-0.0015646034958351866,-0.0013036479265046046,0.004014571988655496,-0.004436509675083499,0.0013073026834131253,3,0.259765625
beta_input_without_target,A_original,B_beta_input,correct_mae_unweighted_pi_plus,0.02056347663766603,0.006464125101746822,0.019155350956186576,0.0028275407517645342,10,0.0014081256814794491,-0.00043527120600367255,0.005804855876040605,-0.0027444966920030364,0.005560748054961934,4,0.541015625
beta_input_without_target,A_original,B_beta_input,correct_mae_unweighted_proton,0.02093466894906099,0.005948580533536121,0.01961934928734149,0.006501130932026335,10,0.0013153196617195003,0.0009151526737804991,0.0024316685971473985,-0.00042422420242490926,0.00305486352586391,7,0.13671875
delta_beta_target_without_input,A_original,C_beta_target,macro_weighted_bin_tv,0.03440470259857095,0.005406121321897474,0.03508550950509599,0.006822915527589941,10,-0.0006808069065250329,0.00022225363327864865,0.006684166220505707,-0.005462461918824895,0.004100848105774829,6,0.748046875
delta_beta_target_without_input,A_original,C_beta_target,macro_correct_mae_unweighted,0.01851186313721933,0.004049863166194201,0.018804646728324544,0.0030717168728845896,10,-0.00029278359110521764,-0.0010785804929028843,0.004879094552976682,-0.003783143668201087,0.0031975764859906515,4,0.853515625
delta_beta_target_without_input,A_original,C_beta_target,macro_correct_mae_weighted,0.01618645099592403,0.0037227071299839915,0.016776321738135917,0.0026415072468661017,10,-0.0005898707422118881,-0.001210842283158868,0.004907369136256875,-0.00410045762073703,0.002920716136313254,4,0.712890625
delta_beta_target_without_input,A_original,C_beta_target,test_pid_cross_entropy,1.0060521359302463,0.0071724435024796505,1.005514408379537,0.00853336959060407,10,0.0005377275507092216,0.003000456419464115,0.006910766462304269,-0.00440603057905358,0.005481485680472023,6,0.8125
delta_beta_target_without_input,A_original,C_beta_target,correct_mae_unweighted_pi_minus,0.014037443824930967,0.0045092258353849,0.015102562723543633,0.0035597897928087248,10,-0.0010651188986126679,-0.0009812999589327688,0.005381261006496241,-0.00491471401868432,0.002784476221458984,5,0.544921875
