metric,label,family,lower_is_better,pair_count,no_beta_mean,no_beta_sd,joint_beta_mean,joint_beta_sd,relative_mean_improvement_percent,mean_paired_improvement,median_paired_improvement,paired_improvement_sd,paired_improvement_ci95_low,paired_improvement_ci95_high,exact_two_sided_sign_flip_p,paired_cohen_dz,joint_beta_better_pairs,no_beta_better_pairs,tied_pairs
macro_weighted_bin_tv,Macro weighted-bin TV,primary,True,10,0.06921290367401794,0.06647022691152045,0.0637322679138045,0.04572526858978162,7.918517312936909,0.005480635760213457,-0.007215047876486601,0.08997977200300068,-0.05888701553817098,0.0698482870585979,0.876953125,0.060909642669806786,2,8,0
macro_correct_id_mae,Macro correct-ID MAE,primary,True,10,0.0301447409940576,0.06136609905406985,0.019845374597284686,0.029424369459163532,34.16637880154026,0.010299366396772914,0.00014617045720418265,0.07153959399339553,-0.04087697621544574,0.06147570900899156,0.845703125,0.14396735879887357,6,4,0
worst_bin_tv,Worst fixed-bin TV,secondary,True,10,0.16727310682066304,0.12585484737983998,0.1619257701301242,0.08439331181498295,3.196770115755572,0.005347336690538852,-0.024008143677514332,0.17011357614109818,-0.11634458479828444,0.12703925817936215,0.92578125,0.03143392086533754,3,7,0
test_pid_cross_entropy,Test PID cross entropy,secondary,True,10,1.0550022185023296,0.08480613577862506,1.0504587291500038,0.05763875886966955,0.4306615922358601,0.00454348935232578,-0.0138103435288075,0.11486797584404015,-0.0776281104405016,0.08671508914515315,0.91796875,0.039554012499485654,2,8,0
test_pid_accuracy,Test top-1 PID accuracy,secondary,False,10,0.660142476748148,0.048275646277666125,0.6747390870887546,0.0015294246974873649,2.2111303021295012,0.014596610340606497,-0.0004921694577302294,0.04906324357028473,-0.020501119775829815,0.04969434045704281,0.94921875,0.2975060203611766,3,7,0
weighted_bin_tv_pi_minus,pi- weighted-bin TV,species,True,10,0.058897269528613364,0.02301319947473477,0.08141342019651929,0.0743401773993547,-38.2295322824213,-0.02251615066790593,-0.009979429625737706,0.07181307046794433,-0.07388812656480861,0.02885582522899676,0.37890625,-0.31353833670092984,3,7,0
weighted_bin_tv_pi_plus,pi+ weighted-bin TV,species,True,10,0.08165973147346976,0.09615855014195548,0.06623785478039457,0.058104557283140526,18.88553441800821,0.015421876693075215,-0.006510725539528212,0.12062681540699069,-0.07086934875138172,0.10171310213753214,0.751953125,0.12784783085785972,4,6,0
weighted_bin_tv_proton,proton weighted-bin TV,species,True,10,0.06708171001997074,0.10277226477785542,0.04354552876449964,0.028531613392801653,35.08583971467664,0.02353618125547111,-0.0046315713725706385,0.11309638376747004,-0.05736809791085097,0.10444046042179318,0.97265625,0.20810728399470568,4,6,0
correct_id_abs_error_pi_minus,pi- correct-ID absolute error,species,True,10,0.011801951629679387,0.01446407248113354,0.028970916577461314,0.04607779052839844,-145.4756423895659,-0.017168964947781928,-0.00504341721534729,0.041955649365427145,-0.04718222846506488,0.01284429856950103,0.251953125,-0.4092169995569114,1,9,0
correct_id_abs_error_pi_plus,pi+ correct-ID absolute error,species,True,10,0.03768590317013676,0.0832657136739956,0.017225002260245415,0.036188214476696,54.293248107969106,0.020460900909891343,0.0025463998317718506,0.09372527192502189,-0.0465861196239558,0.08750792144373849,0.6328125,0.21830719174930327,6,4,0
correct_id_abs_error_proton,proton correct-ID absolute error,species,True,10,0.04094636818235666,0.10439861380944569,0.013340204954147339,0.02644255178994509,67.42029746145964,0.027606163228209323,-0.000385111062090826,0.10960256960947058,-0.05079879185207297,0.10601111830849161,0.837890625,0.2518751460533633,4,6,0
