bin_index,probability_low,probability_high,n,mean_predicted_probability,observed_trigger_rate,absolute_calibration_gap
0,0.0,0.05,194660,0.0031670366879552603,0.0021010993514209986,0.0010659373365342617
1,0.05,0.1,8275,0.07227054238319397,0.052809666842222214,0.019460875540971756
2,0.1,0.15000000000000002,4929,0.12358822673559189,0.1170622855424881,0.00652594119310379
3,0.15000000000000002,0.2,3676,0.17405343055725098,0.1760065257549286,0.0019530951976776123
4,0.2,0.25,3061,0.2243417650461197,0.24338451027870178,0.019042745232582092
5,0.25,0.30000000000000004,2805,0.2746284604072571,0.2866310179233551,0.012002557516098022
6,0.30000000000000004,0.35000000000000003,2423,0.32478299736976624,0.3347090482711792,0.009926050901412964
7,0.35000000000000003,0.4,2510,0.37523430585861206,0.36055776476860046,0.014676541090011597
8,0.4,0.45,2491,0.42455729842185974,0.4359695017337799,0.011412203311920166
9,0.45,0.5,2580,0.47506803274154663,0.4841085374355316,0.009040504693984985
10,0.5,0.55,2812,0.5253556966781616,0.5337837934494019,0.008428096771240234
11,0.55,0.6000000000000001,2976,0.5757862329483032,0.5732526779174805,0.002533555030822754
12,0.6000000000000001,0.65,3275,0.6252713799476624,0.6366412043571472,0.011369824409484863
13,0.65,0.7000000000000001,3888,0.6755834221839905,0.6797839403152466,0.0042005181312561035
14,0.7000000000000001,0.75,5060,0.726129412651062,0.7438735365867615,0.017744123935699463
15,0.75,0.8,7028,0.7768678069114685,0.804069459438324,0.02720165252685547
16,0.8,0.8500000000000001,13593,0.8290701508522034,0.8558816909790039,0.026811540126800537
17,0.8500000000000001,0.9,134059,0.8842101693153381,0.8886087536811829,0.0043985843658447266
18,0.9,0.9500000000000001,100337,0.9120792746543884,0.9131925702095032,0.001113295555114746
