observed_outcome,predicted_outcome,observed_rows,argmax_count,mean_predicted_probability
unreconstructed,unreconstructed,253031,219964,0.8690082430839539
unreconstructed,FD,253031,33067,0.1309853494167328
unreconstructed,FT,253031,0,2.381513695581816e-06
unreconstructed,CD,253031,0,2.077365934383124e-06
unreconstructed,other,253031,0,1.881601406239497e-06
FD,unreconstructed,247407,7886,0.14325110614299774
FD,FD,247407,239521,0.8567442893981934
FD,FT,247407,0,1.6217408074226114e-06
FD,CD,247407,0,1.6128420838867896e-06
FD,other,247407,0,1.3976880381960655e-06
