generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1554,0.05333929423469261,0.04556716163972324,2112,0.9999999999999999,1.0000000016007806
-211,pi-,1,1.0,2.0,False,5700,0.0186473738310674,0.010432649960257612,-211,1.0,0.9999999999334841
-211,pi-,2,2.0,3.0,False,6579,0.043301185516870434,0.037938882873139734,-211,0.9999999999999999,0.9999999994815247
-211,pi-,3,3.0,4.0,False,7020,0.03132175616676515,0.030748036811050206,-211,1.0,1.0000000002480705
-211,pi-,4,4.0,5.0,False,7152,0.014989861045987573,0.008353641447199661,22,1.0000000000000002,1.000000000289212
-211,pi-,5,5.0,6.0,False,6396,0.029724694765556788,0.019808040796342005,-2212,1.0,0.9999999996415122
-211,pi-,6,6.0,7.0,False,6107,0.02132848163659451,0.009150835125102206,11,1.0,0.9999999995286767
-211,pi-,7,7.0,8.0,False,4253,0.0437305436521614,0.022673207541015428,-321,1.0,1.0000000000588587
-211,pi-,8,8.0,9.0,False,1220,0.058664690450164654,0.04444681325351024,-2212,1.0,1.0000000017700847
11,electron,2,2.0,3.0,False,38706,0.005944992778640667,0.005944992554056561,11,1.0,1.0000000004491683
11,electron,3,3.0,4.0,False,35816,0.004471992791095481,0.004450272586506987,11,1.0,0.9999999999954259
11,electron,4,4.0,5.0,False,30099,0.004120692678427344,0.004120692776589663,11,1.0,0.9999999998036755
11,electron,5,5.0,6.0,False,23943,0.0032046391530835432,0.0032046388445584606,11,1.0,1.0000000006170502
11,electron,6,6.0,7.0,False,18148,0.0026424746709885847,0.002642474367357428,11,1.0,1.0000000006072625
11,electron,7,7.0,8.0,False,12425,0.0021290521769051535,0.0021290521266714713,11,1.0,1.0000000001004674
11,electron,8,8.0,9.0,False,6424,0.00167452333504572,0.0016745233149784156,11,1.0,1.0000000000401346
11,electron,9,9.0,11.0,True,2098,0.0014252152858112664,0.0014252144172148817,11,1.0,1.0000000017371928
211,pi+,0,0.0,1.0,False,3118,0.023605347758649295,0.022406483925711762,211,1.0,0.9999999986800882
211,pi+,1,1.0,2.0,False,7438,0.010982369173363102,0.005832696933039783,211,1.0,1.0000000004657952
211,pi+,2,2.0,3.0,False,7854,0.0468246362457399,0.04682463590223607,211,0.9999999999999999,1.0000000006870078
211,pi+,3,3.0,4.0,False,8147,0.042373678395948265,0.038558196190004335,211,1.0000000000000002,0.9999999994087528
211,pi+,4,4.0,5.0,False,8181,0.04888339363398852,0.025919989311047387,321,1.0,1.000000000267317
211,pi+,5,5.0,6.0,False,7698,0.060524337824048174,0.041847610487430104,-11,1.0,1.0000000000708664
211,pi+,6,6.0,7.0,False,7337,0.043607109482913686,0.037729781181218475,-11,0.9999999999999999,0.9999999989934037
211,pi+,7,7.0,8.0,False,5501,0.054859477674072676,0.0331778724482657,211,1.0,0.9999999994100127
211,pi+,8,8.0,9.0,False,1725,0.035623171648451524,0.021494787108639002,2212,1.0,1.0000000004506382
2212,proton,0,0.0,1.0,False,3730,0.009686000647812483,0.006450223279168115,2112,1.0,0.9999999993751141
2212,proton,1,1.0,2.0,False,9202,0.0251731483927611,0.022336020788298896,2112,1.0,1.0000000016103234
2212,proton,2,2.0,3.0,False,10040,0.023579389788555734,0.014083799167695754,2212,1.0,0.9999999995760298
2212,proton,3,3.0,4.0,False,10258,0.015730261261987795,0.009240392869714988,22,1.0,0.9999999988705685
2212,proton,4,4.0,5.0,False,10333,0.021211447924631283,0.012953965462939698,2212,1.0,1.0000000007124585
2212,proton,5,5.0,6.0,False,9225,0.05466793496618015,0.04917694925292726,2212,0.9999999999999999,0.9999999998976836
2212,proton,6,6.0,7.0,False,3217,0.06598765450179006,0.06454993785817242,2212,1.0,1.0000000002909795
