trial,validation_pid_tv,validation_pid_cross_entropy,validation_pid_accuracy,best_epoch,parameters,batch_size,dropout,hidden_layers,hidden_width,learning_rate,lr_schedule,weight_decay
0,0.019257920991012055,0.9853018771184807,0.6787681050090525,50,226692,8192,0.03,4,256,0.001,none,1e-05
1,0.009284635820473742,0.976949878679965,0.6804591631462482,50,3043716,4096,0.1418133,6,768,0.00295845,cosine,0.00014951
2,0.009341938944288143,0.9768328411769541,0.6805283142224905,50,3043716,4096,0.140469857,6,768,0.0033596374,cosine,5.8497216e-05
3,0.013277221395307634,0.9812634439924981,0.6800631160732247,49,226692,4096,0.1293339468307386,4,256,0.0010874651725620668,cosine,3.18298158500337e-05
4,0.014475317142129818,0.9811496709559051,0.6802328505330919,45,226692,4096,0.07209266459694186,4,256,0.0012240850607574472,cosine,5.3977797818225135e-05
5,0.012523413447099981,0.9780511434254237,0.6801699859183263,48,846468,4096,0.1138577250932004,4,512,0.0028969844734106414,none,9.330491645537581e-05
6,0.010685418664577825,0.977824604360181,0.680377439147053,50,846468,4096,0.06112638741227101,4,512,0.0017922889153111192,cosine,9.237312031215007e-05
7,0.011230199932425694,0.9775614393138713,0.6802579963789982,50,3043716,4096,0.11527347806660256,6,768,0.0021738318683265138,none,7.788923727914747e-05
8,0.01633227477751148,0.9818945484630445,0.679799084691209,48,359300,8192,0.12952475679602,6,256,0.0017197783341717447,none,0.00023870085516449266
9,0.012247506241679766,0.9782869952158102,0.6804088714544357,49,3043716,8192,0.08137105364078126,6,768,0.002630350045055282,cosine,0.00011567560190503445
10,0.012553856323499797,0.9787006976258656,0.6804088714544357,50,1859460,8192,0.13297470431386987,4,768,0.002758707759305164,cosine,0.0002898968722567168
11,0.011464132083658101,0.977618257696301,0.6803837256085294,49,1859460,4096,0.13671079084514076,4,768,0.0018938543289740057,cosine,5.965560804855024e-05
12,0.009327730035383466,0.9769252084961505,0.6804528766847717,50,3043716,4096,0.149041209511839,6,768,0.0033989800665041583,cosine,8.20855587141632e-05
13,0.009555746064066745,0.9768893847617075,0.680434017300342,49,3043716,4096,0.1491869303830293,6,768,0.0030847100088522753,cosine,9.991930281130113e-05
14,0.009778580894915552,0.9769639022224171,0.6804905954536311,50,3043716,4096,0.11202502351712437,6,768,0.003317946870707487,cosine,0.00026490558068191093
15,0.010905689087635865,0.9780138180999779,0.6802014182257091,50,359300,4096,0.11231797527030787,6,256,0.0030417810253524098,cosine,0.0002744342459723249
