generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1551,0.015756018871621036,0.012775381892525639,2112,1.0,1.0000000016426875
-211,pi-,1,1.0,2.0,False,5686,0.008430889579244025,0.005258221192938839,-211,0.9999999999999999,0.9999999992892327
-211,pi-,2,2.0,3.0,False,6562,0.007455897692051635,0.00608165100171465,-211,1.0,1.000000000363542
-211,pi-,3,3.0,4.0,False,6996,0.006431470848699164,0.0036729096765682756,-321,1.0000000000000002,1.0000000005533323
-211,pi-,4,4.0,5.0,False,7120,0.011616390584892097,0.006626405072825803,-2212,1.0000000000000002,1.0000000007047216
-211,pi-,5,5.0,6.0,False,6370,0.00858450571303708,0.0062798973193143315,-2212,1.0,1.0000000001969198
-211,pi-,6,6.0,7.0,False,6084,0.010700823530115892,0.007233231284059283,-321,0.9999999999999999,0.9999999994811647
-211,pi-,7,7.0,8.0,False,4235,0.00834113451609928,0.003349229191734221,-321,1.0,1.0000000012599828
-211,pi-,8,8.0,9.0,True,1213,0.046739333317562616,0.025315723426659997,-211,1.0,1.000000000663372
211,pi+,0,0.0,1.0,False,3116,0.005263768391016176,0.003401652514130271,211,0.9999999999999999,1.0000000000024962
211,pi+,1,1.0,2.0,False,7417,0.004494397417248327,0.003195071465210725,2212,1.0,0.999999999703693
211,pi+,2,2.0,3.0,False,7822,0.012545863487266945,0.010519858100124124,211,0.9999999999999999,0.9999999996459596
211,pi+,3,3.0,4.0,False,8115,0.009158365179819975,0.005491026155352241,211,0.9999999999999999,1.0000000004109992
211,pi+,4,4.0,5.0,False,8150,0.01104142046101844,0.004986181336632173,321,1.0,0.9999999994727548
211,pi+,5,5.0,6.0,False,7664,0.011519906617537582,0.007623015268242064,22,1.0,1.0000000011935297
211,pi+,6,6.0,7.0,False,7303,0.011289392434455028,0.010783589042964947,211,0.9999999999999999,1.000000001231996
211,pi+,7,7.0,8.0,False,5471,0.011260443249663299,0.007075041159374629,321,1.0,0.9999999999868368
211,pi+,8,8.0,9.0,True,1716,0.02788479762358531,0.020001349605984597,211,1.0,0.9999999996404553
2212,proton,0,0.0,1.0,False,3726,0.0014966406651476102,0.001047883152769824,2212,1.0,0.9999999990145116
2212,proton,1,1.0,2.0,False,9189,0.003220565680693429,0.002311680614062457,2112,1.0,1.000000000280717
2212,proton,2,2.0,3.0,False,10019,0.007639245200805607,0.006468387021878241,2212,1.0,0.9999999992877098
2212,proton,3,3.0,4.0,False,10235,0.0032932271825855956,0.002163567684834611,2212,1.0,0.9999999998015229
2212,proton,4,4.0,5.0,False,10310,0.004704632531906029,0.0028200120060586364,22,1.0,0.9999999987060822
2212,proton,5,5.0,6.0,False,9204,0.016497073241678015,0.015660457280680995,2212,1.0,1.0000000003605798
2212,proton,6,6.0,7.0,False,3208,0.014444530888732654,0.009527439505855856,2112,1.0,0.9999999999826286
