species_pid,species,conditioning_variable,bin_index,bin_low,bin_high,n,target,observed_mean,sampled_mean,absolute_mean_difference,observed_std,sampled_std,std_ratio,wasserstein_1d
-211,pi-,gen_p,0,0.3017200827598572,2.27919340133667,9089,delta_p,-0.12909038364887238,-0.1147879809141159,0.01430240273475647,0.47915202379226685,0.4859323799610138,1.014150740959171,0.02222706377506256
-211,pi-,gen_p,0,0.3017200827598572,2.27919340133667,9089,delta_theta,-0.011736540123820305,-0.010396572761237621,0.0013399673625826836,0.12916631996631622,0.12771561741828918,0.9887687243206639,0.003047252306714654
-211,pi-,gen_p,0,0.3017200827598572,2.27919340133667,9089,delta_phi,0.088753841817379,0.11063700169324875,0.02188315987586975,0.9108116030693054,0.8601712584495544,0.944400856940008,0.03868495300412178
-211,pi-,gen_p,1,2.27919340133667,3.6211533069610597,9088,delta_p,-0.43806514143943787,-0.43207862973213196,0.005986511707305908,0.8964584469795227,0.8764386773109436,0.9776679334819894,0.020170830190181732
-211,pi-,gen_p,1,2.27919340133667,3.6211533069610597,9088,delta_theta,0.001815629075281322,0.0019659504760056734,0.0001503214007243514,0.10725954174995422,0.10419070720672607,0.9713887035767663,0.0024202701169997454
-211,pi-,gen_p,1,2.27919340133667,3.6211533069610597,9088,delta_phi,-0.03433229774236679,-0.02146616205573082,0.012866135686635971,0.598423182964325,0.5701340436935425,0.9527272002888482,0.016917597502470016
-211,pi-,gen_p,2,3.6211533069610597,4.908267784118656,9088,delta_p,-0.6793280839920044,-0.708325207233429,0.02899712324142456,1.3618628978729248,1.3909410238265991,1.0213517278421278,0.02982235699892044
-211,pi-,gen_p,2,3.6211533069610597,4.908267784118656,9088,delta_theta,-0.0021625140216201544,-0.003094475017860532,0.0009319609962403774,0.1001177728176117,0.10269274562597275,1.0257194375773018,0.00143830431625247
-211,pi-,gen_p,2,3.6211533069610597,4.908267784118656,9088,delta_phi,-0.03130791336297989,-0.01852499321103096,0.012782920151948929,0.5267719030380249,0.5174829363822937,0.9823662450442793,0.014326673001050949
-211,pi-,gen_p,3,4.908267784118656,6.3511659622192385,9088,delta_p,-1.038047194480896,-1.0684245824813843,0.03037738800048828,1.9548931121826172,1.9732909202575684,1.0094111580629646,0.030493540689349174
-211,pi-,gen_p,3,4.908267784118656,6.3511659622192385,9088,delta_theta,-0.0022601427044719458,-0.0018024041783064604,0.0004577385261654854,0.09963270276784897,0.10198232531547546,1.0235828446117865,0.0019852665718644857
-211,pi-,gen_p,3,4.908267784118656,6.3511659622192385,9088,delta_phi,-0.02160586044192314,-0.02725641429424286,0.005650553852319717,0.5155866146087646,0.5003225803375244,0.9703948205039752,0.020024625584483147
