generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1618,0.014957459564082027,0.01100580734908764,22,1.0,0.9999999997291354
-211,pi-,1,1.0,2.0,False,5789,0.007106194253991515,0.006660834751840761,-211,1.0,1.0000000000678393
-211,pi-,2,2.0,3.0,False,6490,0.007765330536268577,0.0049542215923981114,22,0.9999999999999999,0.9999999987873008
-211,pi-,3,3.0,4.0,False,6924,0.005628522460794564,0.003826497153051188,-2212,0.9999999999999999,0.999999999614774
-211,pi-,4,4.0,5.0,False,7027,0.009162407717719437,0.004974688163552801,2112,1.0,1.0000000015676145
-211,pi-,5,5.0,6.0,False,6334,0.007755122742644059,0.00456325731361637,-2212,1.0,0.9999999994919144
-211,pi-,6,6.0,7.0,False,6015,0.006979758453508908,0.002379821748271449,-211,1.0,1.0000000008408096
-211,pi-,7,7.0,8.0,False,4030,0.015549656204857676,0.012524957785128077,-211,0.9999999999999999,1.0000000008499301
-211,pi-,8,8.0,9.0,True,1215,0.025891038073974346,0.015688038565177254,-2212,1.0,1.0000000011143622
211,pi+,0,0.0,1.0,False,3131,0.0036692448561015277,0.001995518007019692,211,1.0,1.0000000024694085
211,pi+,1,1.0,2.0,False,7561,0.006162982747319788,0.004638009167885662,22,1.0000000000000002,0.9999999995629687
211,pi+,2,2.0,3.0,False,7929,0.0094596259896703,0.007099618167995932,2212,1.0,0.9999999992107944
211,pi+,3,3.0,4.0,False,8226,0.009260540091291772,0.006996817733307181,321,1.0,0.9999999994996303
211,pi+,4,4.0,5.0,False,7885,0.015371338233993056,0.007445197989343261,321,0.9999999999999999,1.0000000002753102
211,pi+,5,5.0,6.0,False,7716,0.010475212217276517,0.0048419237022401945,-11,1.0,0.9999999988082583
211,pi+,6,6.0,7.0,False,7252,0.010001972971712406,0.006253313121780901,22,1.0000000000000002,1.0000000000463454
211,pi+,7,7.0,8.0,False,5431,0.011905764326692722,0.006485962079670893,2212,1.0,0.9999999997451452
211,pi+,8,8.0,9.0,True,1777,0.0275367203523677,0.01726696126217514,211,1.0,1.0000000004737153
2212,proton,0,0.0,1.0,False,3642,0.0033759607238570597,0.0025220418176042925,2212,1.0,0.9999999991249324
2212,proton,1,1.0,2.0,False,9367,0.009718447776019462,0.00694699746269134,2212,1.0,0.9999999999092029
2212,proton,2,2.0,3.0,False,9830,0.007318974555146976,0.0036552849895532535,2212,1.0,1.0000000014299097
2212,proton,3,3.0,4.0,False,10066,0.006980587388229139,0.0029038038136600663,2212,1.0,1.0000000008311642
2212,proton,4,4.0,5.0,False,10535,0.006134092388401945,0.004784892328299262,2212,1.0,0.9999999996151239
2212,proton,5,5.0,6.0,False,9318,0.008868176539132987,0.006130012555436104,2212,1.0,1.0000000003997744
2212,proton,6,6.0,7.0,False,3256,0.012927817263519409,0.007874998675615835,45,1.0,1.0000000005885399
