device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/option_a_20260828
loading deterministic, event-disjoint data splits...
loaded train=1,272,702, validation=158,175, test=158,364 in 3.98s
trainable_parameters=3,024,476
epoch=01 train_loss=0.92467 val_loss=-1.83407 val_nll=-2.32357 val_joint_nll=-1.09211 val_pid_acc=0.6572
epoch=02 train_loss=-1.83976 val_loss=-2.67896 val_nll=-3.13828 val_joint_nll=-1.98277 val_pid_acc=0.6561
epoch=03 train_loss=-2.55666 val_loss=-3.10467 val_nll=-3.53195 val_joint_nll=-2.45702 val_pid_acc=0.6663
epoch=04 train_loss=-3.03805 val_loss=-3.75695 val_nll=-4.17122 val_joint_nll=-3.12904 val_pid_acc=0.6736
epoch=05 train_loss=-3.31518 val_loss=-3.90404 val_nll=-4.31859 val_joint_nll=-3.27571 val_pid_acc=0.6745
epoch=06 train_loss=-3.56719 val_loss=-3.92962 val_nll=-4.33442 val_joint_nll=-3.31605 val_pid_acc=0.6754
epoch=07 train_loss=-3.95057 val_loss=-3.95935 val_nll=-4.37682 val_joint_nll=-3.32658 val_pid_acc=0.6760
epoch=08 train_loss=-4.11410 val_loss=-4.47409 val_nll=-4.87412 val_joint_nll=-3.86776 val_pid_acc=0.6761
epoch=09 train_loss=-4.26034 val_loss=-4.51651 val_nll=-4.91715 val_joint_nll=-3.90924 val_pid_acc=0.6749
epoch=10 train_loss=-4.36053 val_loss=-4.63700 val_nll=-5.03373 val_joint_nll=-4.03566 val_pid_acc=0.6767
epoch=11 train_loss=-4.45120 val_loss=-4.60784 val_nll=-5.00614 val_joint_nll=-4.00414 val_pid_acc=0.6766
epoch=12 train_loss=-4.50142 val_loss=-4.66209 val_nll=-5.05958 val_joint_nll=-4.05960 val_pid_acc=0.6765
epoch=13 train_loss=-4.55293 val_loss=-4.70568 val_nll=-5.10054 val_joint_nll=-4.10718 val_pid_acc=0.6771
epoch=14 train_loss=-4.57327 val_loss=-4.72047 val_nll=-5.11525 val_joint_nll=-4.12210 val_pid_acc=0.6774
epoch=15 train_loss=-4.58344 val_loss=-4.67008 val_nll=-5.06584 val_joint_nll=-4.07021 val_pid_acc=0.6771
epoch=16 train_loss=-4.64196 val_loss=-4.70604 val_nll=-5.10190 val_joint_nll=-4.10602 val_pid_acc=0.6761
epoch=17 train_loss=-4.64890 val_loss=-4.76700 val_nll=-5.16236 val_joint_nll=-4.16774 val_pid_acc=0.6773
epoch=18 train_loss=-4.67486 val_loss=-4.76842 val_nll=-5.16253 val_joint_nll=-4.17104 val_pid_acc=0.6774
epoch=19 train_loss=-4.70309 val_loss=-4.74751 val_nll=-5.14244 val_joint_nll=-4.14889 val_pid_acc=0.6779
epoch=20 train_loss=-4.73472 val_loss=-4.82768 val_nll=-5.22184 val_joint_nll=-4.23024 val_pid_acc=0.6771
epoch=21 train_loss=-4.74499 val_loss=-4.84287 val_nll=-5.23641 val_joint_nll=-4.24638 val_pid_acc=0.6782
epoch=22 train_loss=-4.77681 val_loss=-4.87962 val_nll=-5.27286 val_joint_nll=-4.28358 val_pid_acc=0.6783
epoch=23 train_loss=-4.78793 val_loss=-4.86327 val_nll=-5.25610 val_joint_nll=-4.26785 val_pid_acc=0.6781
epoch=24 train_loss=-4.79870 val_loss=-4.90435 val_nll=-5.29687 val_joint_nll=-4.30939 val_pid_acc=0.6785
epoch=25 train_loss=-4.81356 val_loss=-4.88412 val_nll=-5.27674 val_joint_nll=-4.28901 val_pid_acc=0.6783
epoch=26 train_loss=-4.81952 val_loss=-4.87659 val_nll=-5.26949 val_joint_nll=-4.28106 val_pid_acc=0.6781
epoch=27 train_loss=-4.82530 val_loss=-4.87049 val_nll=-5.26291 val_joint_nll=-4.27568 val_pid_acc=0.6777
epoch=28 train_loss=-4.83738 val_loss=-4.84908 val_nll=-5.24165 val_joint_nll=-4.25405 val_pid_acc=0.6774
epoch=29 train_loss=-4.84325 val_loss=-4.90637 val_nll=-5.29804 val_joint_nll=-4.31270 val_pid_acc=0.6784
epoch=30 train_loss=-4.84950 val_loss=-4.91778 val_nll=-5.30970 val_joint_nll=-4.32372 val_pid_acc=0.6777
epoch=31 train_loss=-4.85750 val_loss=-4.91018 val_nll=-5.30162 val_joint_nll=-4.31688 val_pid_acc=0.6786
epoch=32 train_loss=-4.86238 val_loss=-4.91989 val_nll=-5.31220 val_joint_nll=-4.32524 val_pid_acc=0.6781
epoch=33 train_loss=-4.86343 val_loss=-4.92244 val_nll=-5.31375 val_joint_nll=-4.32933 val_pid_acc=0.6785
epoch=34 train_loss=-4.86787 val_loss=-4.92641 val_nll=-5.31729 val_joint_nll=-4.33393 val_pid_acc=0.6788
epoch=35 train_loss=-4.87224 val_loss=-4.91620 val_nll=-5.30743 val_joint_nll=-4.32320 val_pid_acc=0.6788
epoch=36 train_loss=-4.87572 val_loss=-4.92721 val_nll=-5.31811 val_joint_nll=-4.33471 val_pid_acc=0.6785
epoch=37 train_loss=-4.87872 val_loss=-4.93113 val_nll=-5.32185 val_joint_nll=-4.33889 val_pid_acc=0.6786
epoch=38 train_loss=-4.88061 val_loss=-4.92782 val_nll=-5.31883 val_joint_nll=-4.33515 val_pid_acc=0.6784
epoch=39 train_loss=-4.88588 val_loss=-4.93428 val_nll=-5.32506 val_joint_nll=-4.34195 val_pid_acc=0.6787
epoch=40 train_loss=-4.88809 val_loss=-4.92670 val_nll=-5.31745 val_joint_nll=-4.33441 val_pid_acc=0.6788
epoch=41 train_loss=-4.89057 val_loss=-4.93426 val_nll=-5.32536 val_joint_nll=-4.34146 val_pid_acc=0.6783
epoch=42 train_loss=-4.89274 val_loss=-4.94958 val_nll=-5.34011 val_joint_nll=-4.35764 val_pid_acc=0.6789
epoch=43 train_loss=-4.89692 val_loss=-4.94329 val_nll=-5.33378 val_joint_nll=-4.35142 val_pid_acc=0.6790
epoch=44 train_loss=-4.90173 val_loss=-4.94513 val_nll=-5.33540 val_joint_nll=-4.35358 val_pid_acc=0.6790
epoch=45 train_loss=-4.90245 val_loss=-4.94620 val_nll=-5.33655 val_joint_nll=-4.35454 val_pid_acc=0.6786
epoch=46 train_loss=-4.90594 val_loss=-4.94412 val_nll=-5.33447 val_joint_nll=-4.35245 val_pid_acc=0.6788
epoch=47 train_loss=-4.90817 val_loss=-4.95332 val_nll=-5.34377 val_joint_nll=-4.36152 val_pid_acc=0.6783
epoch=48 train_loss=-4.91024 val_loss=-4.95056 val_nll=-5.34069 val_joint_nll=-4.35923 val_pid_acc=0.6791
epoch=49 train_loss=-4.91274 val_loss=-4.94721 val_nll=-5.33733 val_joint_nll=-4.35589 val_pid_acc=0.6791
epoch=50 train_loss=-4.91376 val_loss=-4.95527 val_nll=-5.34566 val_joint_nll=-4.36353 val_pid_acc=0.6790
epoch=51 train_loss=-4.91598 val_loss=-4.95542 val_nll=-5.34559 val_joint_nll=-4.36403 val_pid_acc=0.6788
epoch=52 train_loss=-4.91874 val_loss=-4.95745 val_nll=-5.34753 val_joint_nll=-4.36620 val_pid_acc=0.6790
epoch=53 train_loss=-4.92053 val_loss=-4.96148 val_nll=-5.35155 val_joint_nll=-4.37023 val_pid_acc=0.6790
epoch=54 train_loss=-4.92193 val_loss=-4.95895 val_nll=-5.34892 val_joint_nll=-4.36787 val_pid_acc=0.6789
epoch=55 train_loss=-4.92323 val_loss=-4.96146 val_nll=-5.35146 val_joint_nll=-4.37032 val_pid_acc=0.6791
epoch=56 train_loss=-4.92553 val_loss=-4.96240 val_nll=-5.35237 val_joint_nll=-4.37130 val_pid_acc=0.6789
epoch=57 train_loss=-4.92705 val_loss=-4.96408 val_nll=-5.35399 val_joint_nll=-4.37308 val_pid_acc=0.6792
epoch=58 train_loss=-4.92903 val_loss=-4.96604 val_nll=-5.35587 val_joint_nll=-4.37515 val_pid_acc=0.6791
epoch=59 train_loss=-4.93002 val_loss=-4.96467 val_nll=-5.35450 val_joint_nll=-4.37380 val_pid_acc=0.6790
epoch=60 train_loss=-4.93091 val_loss=-4.96816 val_nll=-5.35796 val_joint_nll=-4.37733 val_pid_acc=0.6792
epoch=61 train_loss=-4.93196 val_loss=-4.96789 val_nll=-5.35770 val_joint_nll=-4.37705 val_pid_acc=0.6793
epoch=62 train_loss=-4.93366 val_loss=-4.96841 val_nll=-5.35820 val_joint_nll=-4.37760 val_pid_acc=0.6792
epoch=63 train_loss=-4.93435 val_loss=-4.97023 val_nll=-5.35998 val_joint_nll=-4.37947 val_pid_acc=0.6793
epoch=64 train_loss=-4.93554 val_loss=-4.96868 val_nll=-5.35843 val_joint_nll=-4.37794 val_pid_acc=0.6792
epoch=65 train_loss=-4.93634 val_loss=-4.97271 val_nll=-5.36243 val_joint_nll=-4.38199 val_pid_acc=0.6790
epoch=66 train_loss=-4.93681 val_loss=-4.97193 val_nll=-5.36163 val_joint_nll=-4.38126 val_pid_acc=0.6792
epoch=67 train_loss=-4.93772 val_loss=-4.97249 val_nll=-5.36216 val_joint_nll=-4.38185 val_pid_acc=0.6792
epoch=68 train_loss=-4.93797 val_loss=-4.97262 val_nll=-5.36233 val_joint_nll=-4.38193 val_pid_acc=0.6790
epoch=69 train_loss=-4.93838 val_loss=-4.97287 val_nll=-5.36255 val_joint_nll=-4.38223 val_pid_acc=0.6792
epoch=70 train_loss=-4.93882 val_loss=-4.97333 val_nll=-5.36302 val_joint_nll=-4.38268 val_pid_acc=0.6792
test_nll=-5.340680
test_pid_accuracy=0.6797
checkpoint=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/option_a_20260828/model.pt
