run,species,target,n,observed_mean,sampled_mean,bias_in_sigma,observed_std,sampled_std,std_ratio,wasserstein_1d
baseline,pi-,delta_p,45981,-0.7546717524528503,-0.7944521307945251,0.02289797725682504,1.7372878789901733,1.750657081604004,1.0076954445924078,0.05611538887023926
baseline,pi-,delta_theta,45981,0.001606381731107831,0.003202504012733698,0.015198777321156503,0.10501649230718613,0.10173540562391281,0.9687564628070443,0.0031225490383803844
baseline,pi-,delta_phi,45981,-0.002899731742218137,-0.011097696609795094,0.012970204092494221,0.6320613622665405,0.6010029911994934,0.950861778743011,0.02617993950843811
baseline,pi+,delta_p,56999,-0.6303561925888062,-0.6024354100227356,0.01729920140487391,1.6139925718307495,1.64633309841156,1.0200375931991599,0.06254278123378754
baseline,pi+,delta_theta,56999,0.004212051630020142,0.002348846523091197,0.01988195862154172,0.09371335804462433,0.09461133182048798,1.0095821320951497,0.003089411184191704
baseline,pi+,delta_phi,56999,0.004469902720302343,0.002033744938671589,0.0067702724664782275,0.3598315715789795,0.36985185742378235,1.0278471558258013,0.009744035080075264
baseline,proton,delta_p,56005,-0.41766101121902466,-0.41023457050323486,0.00636371251209205,1.1669981479644775,1.112460732460022,0.9532669219744849,0.04255470633506775
baseline,proton,delta_theta,56005,0.006012449506670237,0.007692855782806873,0.01991241801611355,0.08438986539840698,0.09498482942581177,1.1255478246989215,0.0027549194637686014
baseline,proton,delta_phi,56005,0.0007072631269693375,-0.00026751626865006983,0.003124142765491305,0.31201499700546265,0.33167412877082825,1.0630070091311072,0.01074403990060091
tuned,pi-,delta_p,45981,-0.7546717524528503,-0.7586147785186768,0.0022696446072704795,1.7372878789901733,1.7502440214157104,1.0074576830830524,0.010047979652881622
tuned,pi-,delta_theta,45981,0.001606381731107831,0.0016394382109865546,0.0003147741764410619,0.10501649230718613,0.10349854826927185,0.9855456604523211,0.0011408764403313398
tuned,pi-,delta_phi,45981,-0.002899731742218137,0.0007138341316021979,0.005717112434878582,0.6320613622665405,0.6014429330825806,0.9515578217371747,0.01767309196293354
tuned,pi+,delta_p,56999,-0.6303561925888062,-0.6083195805549622,0.013653477976573273,1.6139925718307495,1.5613375902175903,0.9673759455079569,0.030408034101128578
tuned,pi+,delta_theta,56999,0.004212051630020142,0.004396218806505203,0.0019652179830901492,0.09371335804462433,0.09232378751039505,0.9851721188609249,0.0012552965199574828
tuned,pi+,delta_phi,56999,0.004469902720302343,0.005313340574502945,0.0023439795749425375,0.3598315715789795,0.32069215178489685,0.8912284999831042,0.009180362336337566
tuned,proton,delta_p,56005,-0.41766101121902466,-0.4115327298641205,0.005251320548874354,1.1669981479644775,1.161848545074463,0.9955873084297547,0.011219249106943607
tuned,proton,delta_theta,56005,0.006012449506670237,0.0058136279694736,0.0023559883199006657,0.08438986539840698,0.08342623710632324,0.9885812320290543,0.0009304247214458883
tuned,proton,delta_phi,56005,0.0007072631269693375,-0.0007352478569373488,0.004623210415368052,0.31201499700546265,0.31286802887916565,1.0027339451048505,0.0074853310361504555
restart-selected,pi-,delta_p,45981,-0.7546717524528503,-0.752388060092926,0.0013145157964561116,1.7372878789901733,1.7433416843414307,1.0034846299363904,0.013822373002767563
restart-selected,pi-,delta_theta,45981,0.001606381731107831,0.001592426560819149,0.0001328855114286373,0.10501649230718613,0.10483704507350922,0.9982912471200047,0.0012503715697675943
restart-selected,pi-,delta_phi,45981,-0.002899731742218137,0.006830414291471243,0.015394306019272498,0.6320613622665405,0.604807436466217,0.9568808862123889,0.014938287436962128
restart-selected,pi+,delta_p,56999,-0.6303561925888062,-0.6278489828109741,0.0015534208902759116,1.6139925718307495,1.6165955066680908,1.0016127303698732,0.008234177716076374
restart-selected,pi+,delta_theta,56999,0.004212051630020142,0.004085127729922533,0.0013543842921216213,0.09371335804462433,0.0935540720820427,0.9983002854032209,0.0009229592978954315
restart-selected,pi+,delta_phi,56999,0.004469902720302343,0.003223997773602605,0.003462467012643093,0.3598315715789795,0.34794384241104126,0.9669630735408413,0.004825149662792683
restart-selected,proton,delta_p,56005,-0.41766101121902466,-0.41407310962677,0.003074470682333809,1.1669981479644775,1.1646226644515991,0.9979644496291431,0.008007579483091831
restart-selected,proton,delta_theta,56005,0.006012449506670237,0.005578646901994944,0.005140458544723331,0.08438986539840698,0.08495566993951797,1.0067046503562935,0.0008416303317062557
restart-selected,proton,delta_phi,56005,0.0007072631269693375,0.001379369175992906,0.0021540825135780307,0.31201499700546265,0.3143154978752136,1.0073730458209695,0.00524310814216733
