run,generated_species,p_center_gev,n,coatjava_fraction,fm_mean_probability,absolute_difference
baseline,pi-,0.5,1554,0.5225225225225225,0.5665169993854391,0.043994476862916576
baseline,pi-,1.5,5700,0.7256140350877193,0.6845554883522634,0.041058546735455836
baseline,pi-,2.5,6579,0.6893144854841161,0.6657655385450473,0.023548946939068838
baseline,pi-,3.5,7020,0.6175213675213675,0.6167072377491267,0.0008141297722408236
baseline,pi-,4.5,7152,0.5274049217002237,0.5421860671974663,0.014781145497242631
baseline,pi-,5.5,6396,0.45762976860537835,0.46469268260971136,0.00706291400433301
baseline,pi-,6.5,6107,0.43703946291141316,0.4203227957288501,0.01671666718256304
baseline,pi-,7.5,4253,0.41100399717846225,0.3727808004534654,0.038223196724996855
baseline,pi-,8.5,1220,0.2983606557377049,0.2679516008688656,0.030409054868839325
baseline,pi+,0.5,3118,0.9538165490699166,0.9111581355180398,0.04265841355187683
baseline,pi+,1.5,7438,0.8628663619252487,0.850011169141132,0.012855192784116731
baseline,pi+,2.5,7854,0.7736185383244206,0.7461221190560766,0.027496419268344008
baseline,pi+,3.5,8147,0.6463728979992636,0.6230522570609168,0.023320640938346737
baseline,pi+,4.5,8181,0.5306197286395307,0.5136723181733932,0.016947410466137458
baseline,pi+,5.5,7698,0.4271239282930631,0.4390923674868032,0.011968439193740077
baseline,pi+,6.5,7337,0.39334878015537683,0.40186522802150393,0.008516447866127097
baseline,pi+,7.5,5501,0.3464824577349573,0.3938250378183269,0.04734258008336961
baseline,pi+,8.5,1725,0.31130434782608696,0.3966583228629568,0.08535397503686987
baseline,proton,0.5,3730,0.9890080428954423,0.9305974868363414,0.05841055605910095
baseline,proton,1.5,9202,0.9271897413605737,0.8977215894374658,0.02946815192310792
baseline,proton,2.5,10040,0.8600597609561753,0.8463133877402995,0.013746373215875796
baseline,proton,3.5,10258,0.8197504386820043,0.7985041898799282,0.02124624880207604
baseline,proton,4.5,10333,0.7682183296235362,0.7637106944068431,0.004507635216693062
baseline,proton,5.5,9225,0.688780487804878,0.7397565052373622,0.050976017432484255
baseline,proton,6.5,3217,0.6077090456947467,0.7329185690648592,0.12520952337011249
tuned,pi-,0.5,1554,0.5225225225225225,0.5321960727386663,0.0096735502161438
tuned,pi-,1.5,5700,0.7256140350877193,0.7337290088179942,0.008114973730274921
