number,state,objective_joint_nll,hidden_width,hidden_layers,pid_embedding_dim,mixture_components,dropout,epochs,batch_size,learning_rate,weight_decay,pid_loss_weight,lr_schedule,trainable_parameters,best_epoch,epochs_run,train_seconds,validation_residual_nll,validation_pid_cross_entropy,validation_pid_accuracy,moment_closure_error,pid_closure_tv,pid_closure_tv_max,pid_marginal_discrepancy,worker,closure_composite
47,COMPLETE,-4.700069434992834,768,3,32,12,0.1118457813985444,70,4096,0.0037664339889027605,0.0009089308135638061,0.07817881764917994,none,1288128,70,70,199.5204379200004,-5.536961744927185,0.8368923099343509,0.7050163576881134,0.04854434627093171,0.029588976796299873,0.052445747086453276,0.011266994037608336,gpu0,2.9553446145675393
65,COMPLETE,-4.499638579736421,128,3,32,24,0.12776615515655096,70,4096,0.0029635861196920673,6.168145726946736e-05,0.469466884949278,none,61844,60,70,195.96295869798632,-5.48426781639786,0.9846292366614401,0.6793642437232855,0.023319939560816443,0.02062457747156949,0.0405091320822457,0.008142743943518438,gpu0,1.7261162933020062
42,COMPLETE,-4.464554888753934,768,4,8,12,0.14582063782897656,70,4096,0.0027346998696803743,0.0002011446196592051,0.0551430855392176,cosine,1861752,70,70,220.25691280298634,-5.447804310075586,0.9832494213216519,0.6801476579049625,0.009352350125674015,0.014777131142812325,0.03379766073273097,0.0023368026399414044,gpu0,1.0032185247743957
82,COMPLETE,-4.453389209544533,768,3,32,16,0.14820726146156393,70,4096,0.002699413920106046,0.000430566436522363,0.056719930738095524,none,1309660,55,65,184.5968105949578,-5.439724944605789,0.9863357350612557,0.6795083919327142,0.033410663720151654,0.024775618286892908,0.05525080996549837,0.010394903134761158,gpu0,2.2448579997404625
43,COMPLETE,-4.4514296130187345,128,6,8,12,0.12115051801923765,70,4096,0.0027561961611887583,9.767473161683951e-05,0.22015340403458156,cosine,98168,70,70,244.00470817298628,-5.435647771385357,0.9842181583666225,0.679734015217037,0.017956851797798174,0.01609854591575951,0.038170431959298104,0.003005685963610838,gpu1,1.3395274385422655
51,COMPLETE,-4.418626283301254,768,3,32,12,0.11121440298168596,70,4096,0.00282808570837119,0.00011743324028374106,0.10862858790791219,none,1288128,55,65,186.04863157495856,-5.404632615613346,0.9860063323120918,0.6792451647676707,0.03590327351821797,0.030067893457348602,0.06226184882347831,0.014618681978640857,gpu0,2.5769502791550227
83,COMPLETE,-4.416580316884559,768,3,32,12,0.09837668568171451,70,4096,0.002814958495254056,0.00019187948769888003,0.050688229024110625,none,1288128,53,63,180.64479878701968,-5.401222826683562,0.984642509799003,0.6796400055152358,0.02410481218975304,0.02092095087080539,0.05672962998037653,0.007409093666615185,gpu1,1.7651981218580048
55,COMPLETE,-4.4083773400301824,768,3,32,12,0.11470306506593916,70,4096,0.002765203990730725,0.0008675231564817782,0.3313341525097213,none,1288128,33,43,122.69606043200474,-5.3923407310777804,0.9839633910475979,0.6797402825304905,0.034827050622271996,0.017218670869230675,0.04289013571123834,0.004943426014596186,gpu0,1.9286063268914855
88,COMPLETE,-4.40765155754136,768,3,32,16,0.14827439498509465,70,4096,0.003998049792977072,0.0007603748045339321,0.06675205872098186,none,1309660,68,70,197.32907768600853,-5.398197154838357,0.9905455972969963,0.6794081149174594,0.03498998138547134,0.02390403942537316,0.05855332268761072,0.006921161908138657,gpu0,2.2533322642184124
54,COMPLETE,-4.403786738543238,768,3,32,12,0.09932933721928427,70,4096,0.0038789049955009203,0.0003768882863034873,0.06811577254685586,none,1288128,44,54,153.59633013501298,-5.397728307611847,0.9939415690686085,0.6793141052156583,0.034846330029995945,0.03350279569538487,0.07971799301833965,0.009858431529460254,gpu1,2.7075828138863303
37,COMPLETE,-4.392616970473436,384,3,32,8,0.06885406445511748,70,4096,0.003955996614810114,7.274509524913598e-05,0.5390004668747641,cosine,338468,69,70,194.88826201600023,-5.372324243112632,0.9797072726391959,0.6801664598453228,0.016859941694893275,0.009709830831425384,0.025276765330235686,0.0014537002229492169,gpu1,0.9993324130372433
52,COMPLETE,-4.392144038118398,768,3,32,12,0.12988901075645023,70,4096,0.0032250725921018028,0.00031466357151575596,0.06804151394101944,none,1288128,61,70,199.74299585801782,-5.384725912113458,0.9925818739950595,0.6789317990949999,0.028625005059472977,0.028250774157947963,0.07653489597769314,0.010376278994864263,gpu1,2.2590479677213
61,COMPLETE,-4.389352318205925,1024,3,16,12,0.09422825920371664,70,4096,0.003082061389660332,1.189952420117321e-05,0.12468356514099323,none,2225296,38,48,150.70467917103088,-5.378282635683438,0.9889303174775127,0.6791260858120558,0.017395612207962555,0.02443580511246003,0.05487508560084035,0.006902473726252745,gpu0,1.7202235414610922
81,COMPLETE,-4.387900764570341,768,4,16,12,0.09285228516112314,70,4096,0.0032565218990033337,8.692691963709212e-05,0.07504619290499165,none,1867920,32,42,132.63625742297154,-5.373778240330952,0.9858774757606104,0.6795459958134347,0.035157428358404616,0.018795897340715996,0.04684954769148,0.0015255336380203266,gpu1,2.0144838509412337
41,COMPLETE,-4.374768168081184,768,6,8,8,0.14181331057099705,70,4096,0.002958454985358802,0.00014951169938564305,0.39749949030707654,cosine,3024476,70,70,291.8728996179998,-5.354462882022697,0.979694713941513,0.679990975068627,0.015551602883567196,0.010178663777659597,0.02589271420565896,0.001676308670024107,gpu1,0.9802094277290139
