number,state,objective_joint_nll,hidden_width,hidden_layers,pid_embedding_dim,mixture_components,dropout,epochs,batch_size,learning_rate,weight_decay,pid_loss_weight,lr_schedule,trainable_parameters,best_epoch,epochs_run,train_seconds,validation_residual_nll,validation_pid_cross_entropy,validation_pid_accuracy,moment_closure_error,pid_closure_tv,pid_closure_tv_max,pid_marginal_discrepancy,worker
0,COMPLETE,-3.5055387191657763,1024,7,32,8,0.0977762921538116,40,8192,0.00146615662328919,1.0315213449960584e-08,8.728299404994775,cosine,6419620,11,21,134.51962847699178,-4.495622841344396,0.9900841221786196,0.6777222075984908,0.04825519589039654,0.02159110519835781,0.053605365709641355,0.0036809171819488506,gpu0
1,COMPLETE,-2.160548437021829,512,6,32,16,0.14728357261134306,70,8192,0.0017101762240988034,0.00013073204432504493,0.4219546191659597,none,1402076,13,23,47.21746193402214,-3.265934337582424,1.1053859005605953,0.6715363692199702,0.0891268522160682,0.1176310632412402,0.2992641237230247,0.011413784932551685,gpu1
2,COMPLETE,-3.656281566080899,1024,8,8,24,0.14520565372771704,100,16384,0.00040047466180537537,0.00019451283426872123,2.2875785707302216,none,7561420,31,41,306.15341144701233,-4.651231621761721,0.9949500556808223,0.6776908710312237,0.07427591497864708,0.024979806593508007,0.057681109501773575,0.0021372633161434174,gpu1
3,COMPLETE,-3.886745126434874,512,7,8,8,0.12066167136247964,40,16384,0.0007082324864521411,6.659582257461932e-08,1.774855978235781,cosine,1624668,40,40,83.54015508998418,-4.884439446005992,0.9976943195711175,0.6776532671505032,0.0627726155441773,0.028364837285742645,0.08113841431457455,0.0036789821567424774,gpu0
4,COMPLETE,-3.9797488651516626,768,8,16,8,0.1478147746691324,70,8192,0.0004887207179206297,0.00015909602486793555,5.689191268792717,cosine,4214900,37,47,218.33294227102306,-4.962542073754955,0.9827932086032924,0.6791448877524161,0.03216991463705968,0.01236517904761663,0.032634977879714866,0.0019004300848781686,gpu0
5,COMPLETE,-4.312677731342617,384,3,32,8,0.07738282631838735,100,16384,0.0034550382023869914,6.517371412871644e-06,0.497551726801176,cosine,338468,99,100,79.35554697399493,-5.296281418259856,0.9836036869172389,0.6796462728286893,0.02577248983555966,0.012959295170778368,0.031113584827385365,0.001239177781570816,gpu1
6,PRUNED,-4.1673365953156,1024,6,16,5,0.1303779621639733,70,4096,0.0028417144173647716,1.4508045361720992e-08,0.05595014189324325,cosine,5330015,,,,,,,,,,,gpu0
7,COMPLETE,-4.146484461131211,256,5,32,8,0.07484065866488507,40,8192,0.003751996595907619,1.8260668822976617e-05,0.157087531699094,none,292772,38,40,66.16635758400662,-5.136356330838063,0.9898718697068524,0.6790759473044284,0.03733386164108439,0.025962021426459484,0.051158871965466056,0.006867634367404285,gpu1
8,COMPLETE,-4.130500194206178,128,8,16,5,0.12446174167080268,100,4096,0.0011033424655280545,2.4542458549435938e-08,0.10256966392922702,none,126431,66,76,295.891058311041,-5.118981765821233,0.9884815716150553,0.6792639667080309,0.04420698472414134,0.021963127969547528,0.05687165103456471,0.003831316727627182,gpu1
9,PRUNED,-2.651690516773521,128,3,8,24,0.14515542474028223,70,4096,0.0026014487975385653,4.73232972314606e-08,0.10326475044452749,none,58700,,,,,,,,,,,gpu1
10,PRUNED,-2.7949832685588842,512,8,32,12,0.07057524636408802,70,8192,0.003500042414919734,4.204396834441121e-07,3.978095220727538,cosine,1915072,,,,,,,,,,,gpu0
