group,run,seed,epochs_run,epoch_budget,best_epoch,pid_loss_weight,backbone_lr_multiplier,test_residual_nll,test_pid_cross_entropy,test_joint_nll,test_pid_accuracy,pid_weighted_mean_tv,moment_closure_error,reached_better_solution,failed
released lambda 0.397,optuna_best,20260822,70,70,70,0.39749949030707654,1.0,-5.336459390170155,0.9805853221402752,-4.35587406802988,0.679284209202126,0.010005758016922337,0.031515307469439015,False,False
released lambda 0.397,seed_tuned_20260823,20260823,70,70,70,0.39749949030707654,1.0,-5.37637629095357,0.9792033204776668,-4.3971729704759035,0.6796551550035342,0.010517671070802802,0.017034363943859012,False,False
released lambda 0.397,seed_tuned_20260824,20260824,70,70,70,0.39749949030707654,1.0,-5.292126218333427,0.9853049792746084,-4.306821239058818,0.6785272529777041,0.011045917513467046,0.023549384176417033,False,False
released lambda 0.397,seed_tuned_20260825,20260825,70,70,68,0.39749949030707654,1.0,-5.327126650938942,0.9820103753707677,-4.345116275568174,0.6792743120533528,0.010685086504118708,0.01947570036405866,False,False
released lambda 0.397,seed_tuned_20260826,20260826,70,70,66,0.39749949030707654,1.0,-5.262903862299579,0.9817062081613576,-4.2811976541382215,0.6792179306171844,0.009267308492951626,0.031362956589638946,False,False
released lambda 0.397,seed_tuned_20260827,20260827,70,70,67,0.39749949030707654,1.0,-5.341440455050808,0.9773348164797582,-4.36410563857105,0.6815937564696951,0.011708544055756744,0.018149554958602328,False,False
lambda 2 from scratch,optuna_best_pidweight,20260822,70,70,70,2.0,1.0,-5.728556312251872,0.7194608815939212,-5.0090954306579505,0.7401578765292324,0.009356010860324556,0.014019228441387421,True,False
lambda 2 from scratch,seed_pidweight_20260823,20260823,70,70,67,2.0,1.0,-5.282008452667295,0.9778639489889602,-4.304144503678335,0.6796172876905988,0.00887864594968003,0.017402487394534052,False,False
lambda 2 from scratch,seed_pidweight_20260824,20260824,12,70,2,2.0,1.0,-3.6082331340476292,1.0400154151038947,-2.5682177189437345,0.6746595339900922,0.05196079753691608,0.14236658691967963,False,True
lambda 2 from scratch,seed_pidweight_20260825,20260825,70,70,70,2.0,1.0,-5.326193794998327,0.9806932053984778,-4.345500589599849,0.6792429133017671,0.009427956302327942,0.015319910947943207,False,False
lambda 2 from scratch,seed_pidweight_20260826,20260826,70,70,70,2.0,1.0,-5.600074893479003,0.7395586944506408,-4.860516199028362,0.7325597519160952,0.011182886618177955,0.022260707771148247,True,False
lambda 2 from scratch,seed_pidweight_20260827,20260827,70,70,69,2.0,1.0,-5.235463738955259,0.9763601128742126,-4.259103626081046,0.6816313983324654,0.010007997722996124,0.017340220439996817,False,False
A: fine-tune at lambda 2,seed_pid_finetune_20260822,20260822,20,20,17,2.0,1.0,-5.33854250013369,0.9798293779420227,-4.358713122191667,0.6793408183161933,0.008855332969501199,0.029728531960664568,False,False
A: fine-tune at lambda 2,seed_pid_finetune_20260823,20260823,7,20,1,2.0,1.0,-5.371134093177808,0.9794653460412005,-4.391668747136608,0.6795794203776633,0.013914925009912215,0.014910882589864342,False,False
A: fine-tune at lambda 2,seed_pid_finetune_20260824,20260824,20,20,20,2.0,1.0,-5.293389343238318,0.9844196028075802,-4.308969740430738,0.6784707440963916,0.010295009172172152,0.02321621957207827,False,False
A: fine-tune at lambda 2,seed_pid_finetune_20260825,20260825,20,20,20,2.0,1.0,-5.328234506350182,0.9812174738565138,-4.347017032493668,0.6791487170470102,0.010059760604807585,0.021993021978434543,False,False
A: fine-tune at lambda 2,seed_pid_finetune_20260826,20260826,20,20,17,2.0,1.0,-5.265278945867455,0.9809018231390368,-4.284377122728418,0.6792746571198064,0.009481942694612819,0.02934318076087704,False,False
A: fine-tune at lambda 2,seed_pid_finetune_20260827,20260827,20,20,20,2.0,1.0,-5.343892285674801,0.9767069108780225,-4.367185374796778,0.6815749355383101,0.010297917527968313,0.015958431136107384,False,False
B: decoupled trunk LR,seed_pid_decoupled_20260822,20260822,70,70,69,2.0,0.25,-5.3777702530573785,0.9797961160031176,-4.397974137054261,0.6794666163474542,0.011733898029128501,0.020319317348952256,False,False
B: decoupled trunk LR,seed_pid_decoupled_20260823,20260823,70,70,68,2.0,0.25,-5.371372899563279,0.9782581050673074,-4.393114794495972,0.6796235989094214,0.01128341874795663,0.021342521269833173,False,False
B: decoupled trunk LR,seed_pid_decoupled_20260824,20260824,70,70,69,2.0,0.25,-5.34383244370666,0.9842862018555847,-4.359546241851075,0.6784958591547527,0.012087672773064908,0.02712607452915354,False,False
B: decoupled trunk LR,seed_pid_decoupled_20260825,20260825,70,70,68,2.0,0.25,-5.335401409005103,0.9811676028468888,-4.354233806158214,0.6792617525527185,0.013205253971795504,0.02186065706349785,False,False
B: decoupled trunk LR,seed_pid_decoupled_20260826,20260826,70,70,69,2.0,0.25,-5.351493100285193,0.9807931465119688,-4.370699953773224,0.6793250806776926,0.011725051871060127,0.02439821175570907,False,False
B: decoupled trunk LR,seed_pid_decoupled_20260827,20260827,70,70,68,2.0,0.25,-5.229814121697553,0.9769246416305004,-4.2528894800670525,0.6815435673193347,0.012413480684265694,0.0218063760957995,False,False
