loaded train=1,270,698, validation=159,558, test=158,985
epoch=01 train_loss=-0.09927 val_loss=-2.96177 val_nll=-3.03687 val_joint_nll=-1.53485 val_pid_acc=0.5034
epoch=02 train_loss=-2.60079 val_loss=-2.84562 val_nll=-2.92025 val_joint_nll=-1.42762 val_pid_acc=0.5031
epoch=03 train_loss=-3.13227 val_loss=-2.95559 val_nll=-3.02826 val_joint_nll=-1.57480 val_pid_acc=0.5022
epoch=04 train_loss=-3.43126 val_loss=-3.58592 val_nll=-3.65585 val_joint_nll=-2.25719 val_pid_acc=0.5050
epoch=05 train_loss=-3.76948 val_loss=-3.70396 val_nll=-3.77046 val_joint_nll=-2.44043 val_pid_acc=0.5480
epoch=06 train_loss=-4.02342 val_loss=-4.02786 val_nll=-4.08847 val_joint_nll=-2.87632 val_pid_acc=0.6142
epoch=07 train_loss=-4.22281 val_loss=-4.15465 val_nll=-4.21123 val_joint_nll=-3.07968 val_pid_acc=0.6759
epoch=08 train_loss=-4.33254 val_loss=-4.19316 val_nll=-4.24758 val_joint_nll=-3.15920 val_pid_acc=0.6768
epoch=09 train_loss=-4.47387 val_loss=-4.33515 val_nll=-4.38939 val_joint_nll=-3.30467 val_pid_acc=0.6764
epoch=10 train_loss=-4.53868 val_loss=-4.21135 val_nll=-4.26606 val_joint_nll=-3.17187 val_pid_acc=0.6758
epoch=11 train_loss=-4.61308 val_loss=-4.61765 val_nll=-4.67040 val_joint_nll=-3.61539 val_pid_acc=0.6775
epoch=12 train_loss=-4.70817 val_loss=-4.77198 val_nll=-4.82416 val_joint_nll=-3.78061 val_pid_acc=0.6774
epoch=13 train_loss=-4.77026 val_loss=-4.49284 val_nll=-4.54457 val_joint_nll=-3.50999 val_pid_acc=0.6770
epoch=14 train_loss=-4.83478 val_loss=-4.67717 val_nll=-4.72833 val_joint_nll=-3.70517 val_pid_acc=0.6773
epoch=15 train_loss=-4.87756 val_loss=-4.73502 val_nll=-4.78613 val_joint_nll=-3.76397 val_pid_acc=0.6777
epoch=16 train_loss=-4.90547 val_loss=-4.90156 val_nll=-4.95253 val_joint_nll=-3.93325 val_pid_acc=0.6780
epoch=17 train_loss=-4.92769 val_loss=-4.90987 val_nll=-4.96069 val_joint_nll=-3.94414 val_pid_acc=0.6775
epoch=18 train_loss=-4.91909 val_loss=-4.94835 val_nll=-4.99906 val_joint_nll=-3.98488 val_pid_acc=0.6773
epoch=19 train_loss=-4.96296 val_loss=-4.98869 val_nll=-5.03923 val_joint_nll=-4.02829 val_pid_acc=0.6770
epoch=20 train_loss=-4.96083 val_loss=-4.98958 val_nll=-5.04028 val_joint_nll=-4.02627 val_pid_acc=0.6776
epoch=21 train_loss=-4.99373 val_loss=-5.04303 val_nll=-5.09323 val_joint_nll=-4.08908 val_pid_acc=0.6781
epoch=22 train_loss=-5.02255 val_loss=-4.97410 val_nll=-5.02432 val_joint_nll=-4.01995 val_pid_acc=0.6778
epoch=23 train_loss=-5.02048 val_loss=-5.04577 val_nll=-5.09603 val_joint_nll=-4.09073 val_pid_acc=0.6771
epoch=24 train_loss=-5.03001 val_loss=-5.04621 val_nll=-5.09652 val_joint_nll=-4.09025 val_pid_acc=0.6771
epoch=25 train_loss=-5.07058 val_loss=-5.09134 val_nll=-5.14131 val_joint_nll=-4.14192 val_pid_acc=0.6780
epoch=26 train_loss=-5.08498 val_loss=-5.04122 val_nll=-5.09119 val_joint_nll=-4.09169 val_pid_acc=0.6769
epoch=27 train_loss=-5.09125 val_loss=-5.07204 val_nll=-5.12196 val_joint_nll=-4.12371 val_pid_acc=0.6785
