group,run,seed,epochs_run,best_epoch,epoch_budget,pid_loss_weight,test_joint_nll,test_pid_accuracy,pid_weighted_mean_tv,reached_better_solution,destabilized
"lambda 2, no warm-up",optuna_best_pidweight,20260822,70,70,70,2.0,-5.0090954306579505,0.7401578765292324,0.009356010860324556,True,False
"lambda 2, no warm-up",seed_pidweight_20260823,20260823,70,67,70,2.0,-4.304144503678335,0.6796172876905988,0.00887864594968003,False,False
"lambda 2, no warm-up",seed_pidweight_20260824,20260824,12,2,70,2.0,-2.5682177189437345,0.6746595339900922,0.05196079753691608,False,True
"lambda 2, no warm-up",seed_pidweight_20260825,20260825,70,70,70,2.0,-4.345500589599849,0.6792429133017671,0.009427956302327942,False,False
"lambda 2, no warm-up",seed_pidweight_20260826,20260826,70,70,70,2.0,-4.860516199028362,0.7325597519160952,0.011182886618177955,True,False
"lambda 2, no warm-up",seed_pidweight_20260827,20260827,70,69,70,2.0,-4.259103626081046,0.6816313983324654,0.010007997722996124,False,False
lambda 2 with 5-epoch warm-up,seed_pidweight_warmup_20260822,20260822,70,70,70,2.0,-4.814882345336914,0.7271440701953015,0.012088190547168707,True,False
lambda 2 with 5-epoch warm-up,seed_pidweight_warmup_20260823,20260823,70,70,70,2.0,-4.297038973701923,0.6798760476623246,0.009199150509739644,False,False
lambda 2 with 5-epoch warm-up,seed_pidweight_warmup_20260824,20260824,70,69,70,2.0,-4.009295700350386,0.6784205139796694,0.010722388605846168,False,False
lambda 2 with 5-epoch warm-up,seed_pidweight_warmup_20260825,20260825,70,70,70,2.0,-4.347574138197884,0.6792743120533528,0.009736943986049086,False,False
lambda 2 with 5-epoch warm-up,seed_pidweight_warmup_20260826,20260826,62,52,70,2.0,-4.018275310503663,0.6791359923356192,0.011953644103332382,False,False
lambda 2 with 5-epoch warm-up,seed_pidweight_warmup_20260827,20260827,70,67,70,2.0,-4.348390334633202,0.6814808308813842,0.009706398659936883,False,False
