generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1554,0.10337105731860827,0.10337105808129948,2112,0.9999999999999999,0.9999999984746176
-211,pi-,1,1.0,2.0,False,5700,0.051382731140281655,0.041058546735455836,-211,1.0,0.9999999992002041
-211,pi-,2,2.0,3.0,False,6579,0.032863946763699164,0.023548946939068838,-211,0.9999999999999999,0.9999999996749913
-211,pi-,3,3.0,4.0,False,7020,0.025791984356226316,0.018672741857685818,-321,1.0,0.9999999981760656
-211,pi-,4,4.0,5.0,False,7152,0.03643973283631235,0.032785059021395446,-321,1.0000000000000002,1.0000000007482588
-211,pi-,5,5.0,6.0,False,6396,0.0389929296527157,0.024379088216428813,-2212,1.0,0.9999999999035284
-211,pi-,6,6.0,7.0,False,6107,0.02842727686004403,0.01671666718256304,-211,1.0,1.0000000004485567
-211,pi-,7,7.0,8.0,False,4253,0.06509822290306232,0.04341785326953068,-321,1.0,1.0000000003725928
-211,pi-,8,8.0,9.0,True,1220,0.09569865561522913,0.07110436264669798,-321,1.0,1.0000000021238042
211,pi+,0,0.0,1.0,False,3118,0.043693875223770266,0.04265841355187683,211,1.0,1.0000000003713374
211,pi+,1,1.0,2.0,False,7438,0.036345955618251095,0.03468049895624363,2212,1.0,0.9999999986967789
211,pi+,2,2.0,3.0,False,7854,0.039887015333489956,0.027496419268344008,211,0.9999999999999999,0.9999999999178147
211,pi+,3,3.0,4.0,False,8147,0.04741812969195251,0.025819969232641612,-11,1.0000000000000002,0.9999999998994173
211,pi+,4,4.0,5.0,False,8181,0.06113847088124552,0.039048624166077225,-11,1.0,1.000000000989162
211,pi+,5,5.0,6.0,False,7698,0.03296503824261839,0.019772290794785458,-11,1.0,0.9999999995500513
211,pi+,6,6.0,7.0,False,7337,0.05232342730556416,0.027168782183937798,2212,0.9999999999999999,1.0000000008276195
211,pi+,7,7.0,8.0,False,5501,0.0998013030651869,0.0561491481254175,2212,1.0,0.9999999987548074
211,pi+,8,8.0,9.0,True,1725,0.16402471089477066,0.08535397503686987,211,1.0,0.9999999989684336
2212,proton,0,0.0,1.0,False,3730,0.05985454024801221,0.05841055605910095,2212,1.0,0.9999999994464777
2212,proton,1,1.0,2.0,False,9202,0.037262078427468516,0.02946815192310792,2212,1.0,1.0000000002552631
2212,proton,2,2.0,3.0,False,10040,0.018239134926848397,0.013746373215875796,2212,1.0,1.00000000051034
2212,proton,3,3.0,4.0,False,10258,0.022751674079544485,0.02124624880207604,2212,1.0,0.999999999814765
2212,proton,4,4.0,5.0,False,10333,0.014114785404651537,0.0065826584617368,321,1.0,1.0000000002516332
2212,proton,5,5.0,6.0,False,9225,0.05276593375379271,0.050976017432484255,2212,0.9999999999999999,1.0000000003112248
2212,proton,6,6.0,7.0,False,3217,0.12816419853519992,0.12520952337011249,2212,1.0,1.000000000171443
