generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1554,0.016476507953894992,0.013797578352720441,2112,0.9999999999999999,0.999999999943194
-211,pi-,1,1.0,2.0,False,5700,0.011168160425685037,0.008114973730274921,-211,1.0,1.0000000012412453
-211,pi-,2,2.0,3.0,False,6579,0.006911813080399791,0.0041180470775245,-211,0.9999999999999999,1.0000000006875087
-211,pi-,3,3.0,4.0,False,7020,0.007664437781536922,0.004562125704734216,-321,1.0,1.0000000001542186
-211,pi-,4,4.0,5.0,False,7152,0.010890445789903874,0.006800054064111036,-2212,1.0000000000000002,1.0000000000367708
-211,pi-,5,5.0,6.0,False,6396,0.012108131750642044,0.007305807934928202,-2212,1.0,0.9999999997578672
-211,pi-,6,6.0,7.0,False,6107,0.008510943726758138,0.006433190965771718,-321,1.0,0.9999999992472629
-211,pi-,7,7.0,8.0,False,4253,0.00979772848748473,0.004618437331394956,22,1.0,0.9999999998296701
-211,pi-,8,8.0,9.0,True,1220,0.05039025481139084,0.030842432972772782,-211,1.0,1.0000000010543715
211,pi+,0,0.0,1.0,False,3118,0.004391515624331007,0.0026394138471094175,211,1.0,0.9999999990369065
211,pi+,1,1.0,2.0,False,7438,0.004645222333691096,0.0031423770941723314,2212,1.0,0.999999999970809
211,pi+,2,2.0,3.0,False,7854,0.012546529647199857,0.010302659167773176,211,0.9999999999999999,0.9999999995876768
211,pi+,3,3.0,4.0,False,8147,0.008121642680791052,0.002957255763006428,45,1.0000000000000002,0.9999999992180194
211,pi+,4,4.0,5.0,False,8181,0.012459250047650137,0.005505226876203834,-11,1.0,0.9999999991997633
211,pi+,5,5.0,6.0,False,7698,0.014943555999227058,0.007416842169186186,-11,1.0,1.0000000008206207
211,pi+,6,6.0,7.0,False,7337,0.010434517482318065,0.00916290960833277,211,0.9999999999999999,1.0000000002688303
211,pi+,7,7.0,8.0,False,5501,0.015233426215090317,0.007101413031839865,321,1.0,1.0000000005121792
211,pi+,8,8.0,9.0,True,1725,0.02866816877717083,0.01920923313368922,211,1.0,1.0000000010984118
2212,proton,0,0.0,1.0,False,3730,0.0014811851520208108,0.00110011001694299,2212,1.0,0.9999999988029192
2212,proton,1,1.0,2.0,False,9202,0.005332506186774443,0.004258678360706349,2112,1.0,0.9999999993941705
2212,proton,2,2.0,3.0,False,10040,0.010080598743449486,0.007612818124819065,2212,1.0,0.9999999999943291
2212,proton,3,3.0,4.0,False,10258,0.003924216460643084,0.002459543360752048,2212,1.0,1.0000000008454792
2212,proton,4,4.0,5.0,False,10333,0.0036623074179668587,0.002911674059122779,22,1.0,1.0000000002723566
2212,proton,5,5.0,6.0,False,9225,0.019160731857033143,0.01806155211961047,2212,0.9999999999999999,0.9999999991717453
2212,proton,6,6.0,7.0,False,3217,0.012864948044279434,0.009149670343814822,2112,1.0,0.9999999998970386
