device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/optuna_best
loading deterministic, event-disjoint data splits...
loaded train=1,270,698, validation=159,558, test=158,985 in 5.40s
trainable_parameters=3,024,476
epoch=01 train_loss=0.36358 val_loss=-2.61640 val_nll=-3.06963 val_joint_nll=-1.92943 val_pid_acc=0.6743
epoch=02 train_loss=-2.15157 val_loss=-1.51526 val_nll=-1.94444 val_joint_nll=-0.86472 val_pid_acc=0.6705
epoch=03 train_loss=-2.71838 val_loss=-3.33087 val_nll=-3.74648 val_joint_nll=-2.70090 val_pid_acc=0.6754
epoch=04 train_loss=-3.00053 val_loss=-4.01665 val_nll=-4.42298 val_joint_nll=-3.40077 val_pid_acc=0.6756
epoch=05 train_loss=-3.37667 val_loss=-3.47937 val_nll=-3.89813 val_joint_nll=-2.84463 val_pid_acc=0.6743
epoch=06 train_loss=-3.63632 val_loss=-3.94791 val_nll=-4.35178 val_joint_nll=-3.33574 val_pid_acc=0.6759
epoch=07 train_loss=-3.96812 val_loss=-4.29350 val_nll=-4.69492 val_joint_nll=-3.68505 val_pid_acc=0.6765
epoch=08 train_loss=-4.09829 val_loss=-4.21522 val_nll=-4.61653 val_joint_nll=-3.60695 val_pid_acc=0.6772
epoch=09 train_loss=-4.20408 val_loss=-4.53659 val_nll=-4.93380 val_joint_nll=-3.93452 val_pid_acc=0.6766
epoch=10 train_loss=-4.28624 val_loss=-4.49935 val_nll=-4.89727 val_joint_nll=-3.89623 val_pid_acc=0.6764
epoch=11 train_loss=-4.40340 val_loss=-4.60708 val_nll=-5.00320 val_joint_nll=-4.00667 val_pid_acc=0.6774
epoch=12 train_loss=-4.48846 val_loss=-4.61069 val_nll=-5.00617 val_joint_nll=-4.01125 val_pid_acc=0.6781
epoch=13 train_loss=-4.53425 val_loss=-4.64954 val_nll=-5.04623 val_joint_nll=-4.04826 val_pid_acc=0.6760
epoch=14 train_loss=-4.59519 val_loss=-4.74116 val_nll=-5.13558 val_joint_nll=-4.14331 val_pid_acc=0.6782
epoch=15 train_loss=-4.62533 val_loss=-4.75934 val_nll=-5.15351 val_joint_nll=-4.16188 val_pid_acc=0.6781
epoch=16 train_loss=-4.63968 val_loss=-4.75157 val_nll=-5.14473 val_joint_nll=-4.15566 val_pid_acc=0.6787
epoch=17 train_loss=-4.66043 val_loss=-4.75877 val_nll=-5.15174 val_joint_nll=-4.16313 val_pid_acc=0.6785
epoch=18 train_loss=-4.67460 val_loss=-4.75070 val_nll=-5.14418 val_joint_nll=-4.15429 val_pid_acc=0.6779
epoch=19 train_loss=-4.68591 val_loss=-4.79998 val_nll=-5.19302 val_joint_nll=-4.20424 val_pid_acc=0.6788
epoch=20 train_loss=-4.70921 val_loss=-4.80313 val_nll=-5.19552 val_joint_nll=-4.20839 val_pid_acc=0.6792
epoch=21 train_loss=-4.71725 val_loss=-4.80763 val_nll=-5.20060 val_joint_nll=-4.21199 val_pid_acc=0.6782
epoch=22 train_loss=-4.72864 val_loss=-4.80381 val_nll=-5.19607 val_joint_nll=-4.20925 val_pid_acc=0.6790
epoch=23 train_loss=-4.74005 val_loss=-4.80867 val_nll=-5.20166 val_joint_nll=-4.21301 val_pid_acc=0.6779
