generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1554,0.0134750793321989,0.010592147342811553,2112,0.9999999999999999,1.0000000051599396
-211,pi-,1,1.0,2.0,False,5700,0.0053814464977325095,0.002708571375707125,22,1.0,0.9999999995874579
-211,pi-,2,2.0,3.0,False,6579,0.01029578051641592,0.007896893763413959,-211,0.9999999999999999,0.999999999262866
-211,pi-,3,3.0,4.0,False,7020,0.007688591175737978,0.003804223805114082,22,1.0,1.0000000003108602
-211,pi-,4,4.0,5.0,False,7152,0.013381476863155993,0.0073712358786868215,-211,1.0000000000000002,1.0000000000573486
-211,pi-,5,5.0,6.0,False,6396,0.010899527728175462,0.0068878574172337725,-2212,1.0,1.0000000005161827
-211,pi-,6,6.0,7.0,False,6107,0.01620656635070828,0.009079690152803133,-321,1.0,0.9999999995098829
-211,pi-,7,7.0,8.0,False,4253,0.005071953909129687,0.0025335448001694016,-321,1.0,1.000000000049552
-211,pi-,8,8.0,9.0,True,1220,0.03273311200751767,0.023146694007729923,-2212,1.0,1.0000000007192456
211,pi+,0,0.0,1.0,False,3118,0.006294894008274825,0.004401062482745743,211,1.0,0.9999999973428424
211,pi+,1,1.0,2.0,False,7438,0.00473718912144829,0.0031251914547663663,2212,1.0,0.999999999680785
211,pi+,2,2.0,3.0,False,7854,0.007746152459609646,0.0059045689647221344,211,0.9999999999999999,1.000000000841985
211,pi+,3,3.0,4.0,False,8147,0.009592352683899331,0.0048359535903357564,22,1.0000000000000002,1.0000000003972656
211,pi+,4,4.0,5.0,False,8181,0.009180078790496317,0.005375748882188586,321,1.0,1.0000000000334257
211,pi+,5,5.0,6.0,False,7698,0.014226598707875529,0.01004016350388695,22,1.0,0.9999999997220295
211,pi+,6,6.0,7.0,False,7337,0.010201972761607864,0.008054678786666047,211,0.9999999999999999,0.9999999989321534
211,pi+,7,7.0,8.0,False,5501,0.012067217565785477,0.0076657463453814745,321,1.0,1.0000000005654435
211,pi+,8,8.0,9.0,True,1725,0.02188190227061369,0.015280616653921164,321,1.0,1.0000000006731689
2212,proton,0,0.0,1.0,False,3730,0.002600035950249686,0.002316205786795811,2212,1.0,0.999999997775255
2212,proton,1,1.0,2.0,False,9202,0.006841035141282795,0.00572826157262684,2112,1.0,0.9999999997140032
2212,proton,2,2.0,3.0,False,10040,0.010235690820084426,0.008637374072090753,2212,1.0,1.0000000007334782
2212,proton,3,3.0,4.0,False,10258,0.004212773059149569,0.0029254874480907356,2212,1.0,0.9999999993175117
2212,proton,4,4.0,5.0,False,10333,0.006168361485649154,0.004663957867917942,22,1.0,1.0000000002563572
2212,proton,5,5.0,6.0,False,9225,0.013275538339686605,0.012933050514145839,2212,0.9999999999999999,1.0000000001375213
2212,proton,6,6.0,7.0,False,3217,0.00807000482072263,0.004084407394503803,321,1.0,0.999999999553045
