device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/optuna_best_pidweight
loading deterministic, event-disjoint data splits...
loaded train=1,270,698, validation=159,558, test=158,985 in 5.34s
trainable_parameters=3,024,476
epoch=01 train_loss=1.37181 val_loss=-1.75775 val_nll=-3.80448 val_joint_nll=-2.78111 val_pid_acc=0.6764
epoch=02 train_loss=-1.12172 val_loss=-1.71817 val_nll=-3.74835 val_joint_nll=-2.73326 val_pid_acc=0.6768
epoch=03 train_loss=-1.39196 val_loss=-1.79495 val_nll=-3.81306 val_joint_nll=-2.80401 val_pid_acc=0.6775
epoch=04 train_loss=-1.70535 val_loss=-1.65791 val_nll=-3.67570 val_joint_nll=-2.66680 val_pid_acc=0.6773
epoch=05 train_loss=-1.97984 val_loss=-2.37268 val_nll=-4.38462 val_joint_nll=-3.37865 val_pid_acc=0.6771
epoch=06 train_loss=-2.20803 val_loss=-1.21623 val_nll=-3.23500 val_joint_nll=-2.22561 val_pid_acc=0.6773
epoch=07 train_loss=-2.32527 val_loss=-2.67658 val_nll=-4.67798 val_joint_nll=-3.67728 val_pid_acc=0.6773
epoch=08 train_loss=-2.44790 val_loss=-2.66148 val_nll=-4.65909 val_joint_nll=-3.66029 val_pid_acc=0.6771
epoch=09 train_loss=-2.62539 val_loss=-2.92728 val_nll=-4.91473 val_joint_nll=-3.92101 val_pid_acc=0.6776
epoch=10 train_loss=-2.75248 val_loss=-2.77905 val_nll=-4.76857 val_joint_nll=-3.77381 val_pid_acc=0.6773
epoch=11 train_loss=-2.84624 val_loss=-3.08572 val_nll=-5.07295 val_joint_nll=-4.07933 val_pid_acc=0.6768
epoch=12 train_loss=-2.92547 val_loss=-3.07523 val_nll=-5.05348 val_joint_nll=-4.06436 val_pid_acc=0.6786
epoch=13 train_loss=-2.95563 val_loss=-3.09758 val_nll=-5.07403 val_joint_nll=-4.08581 val_pid_acc=0.6785
epoch=14 train_loss=-3.01419 val_loss=-3.12819 val_nll=-5.10607 val_joint_nll=-4.11713 val_pid_acc=0.6785
epoch=15 train_loss=-3.04380 val_loss=-3.07536 val_nll=-5.04730 val_joint_nll=-4.06133 val_pid_acc=0.6778
epoch=16 train_loss=-3.12921 val_loss=-3.45742 val_nll=-5.21146 val_joint_nll=-4.33444 val_pid_acc=0.6956
epoch=17 train_loss=-3.49377 val_loss=-3.81344 val_nll=-5.38021 val_joint_nll=-4.59682 val_pid_acc=0.7193
epoch=18 train_loss=-3.64282 val_loss=-3.80062 val_nll=-5.35068 val_joint_nll=-4.57565 val_pid_acc=0.7224
epoch=19 train_loss=-3.71421 val_loss=-3.87254 val_nll=-5.38941 val_joint_nll=-4.63097 val_pid_acc=0.7259
epoch=20 train_loss=-3.75506 val_loss=-3.97487 val_nll=-5.47049 val_joint_nll=-4.72268 val_pid_acc=0.7294
epoch=21 train_loss=-3.80646 val_loss=-4.01837 val_nll=-5.50535 val_joint_nll=-4.76186 val_pid_acc=0.7301
epoch=22 train_loss=-3.83268 val_loss=-4.03220 val_nll=-5.51903 val_joint_nll=-4.77561 val_pid_acc=0.7289
epoch=23 train_loss=-3.85829 val_loss=-4.02411 val_nll=-5.50592 val_joint_nll=-4.76502 val_pid_acc=0.7317
epoch=24 train_loss=-3.87811 val_loss=-4.07232 val_nll=-5.54640 val_joint_nll=-4.80936 val_pid_acc=0.7322
epoch=25 train_loss=-3.88753 val_loss=-4.09584 val_nll=-5.56685 val_joint_nll=-4.83135 val_pid_acc=0.7324
epoch=26 train_loss=-3.90893 val_loss=-4.09391 val_nll=-5.56182 val_joint_nll=-4.82786 val_pid_acc=0.7329
epoch=27 train_loss=-3.92195 val_loss=-4.07286 val_nll=-5.55600 val_joint_nll=-4.81443 val_pid_acc=0.7293
epoch=28 train_loss=-3.94462 val_loss=-4.11836 val_nll=-5.58359 val_joint_nll=-4.85098 val_pid_acc=0.7347
epoch=29 train_loss=-3.95636 val_loss=-4.12777 val_nll=-5.59325 val_joint_nll=-4.86051 val_pid_acc=0.7335
epoch=30 train_loss=-3.97331 val_loss=-4.08485 val_nll=-5.56286 val_joint_nll=-4.82386 val_pid_acc=0.7311
