device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_102
loading deterministic, event-disjoint data splits...
loaded train=1,270,698, validation=159,558, test=158,985 in 5.35s
trainable_parameters=3,024,476
epoch=01 train_loss=2.03346 val_loss=-1.06962 val_nll=-3.13479 val_joint_nll=-2.10220 val_pid_acc=0.6762
epoch=02 train_loss=-0.61481 val_loss=-1.42055 val_nll=-3.46697 val_joint_nll=-2.44376 val_pid_acc=0.6764
epoch=03 train_loss=-1.00960 val_loss=-2.01739 val_nll=-4.06497 val_joint_nll=-3.04118 val_pid_acc=0.6757
epoch=04 train_loss=-1.19235 val_loss=-1.19425 val_nll=-3.20378 val_joint_nll=-2.19901 val_pid_acc=0.6771
epoch=05 train_loss=-1.91282 val_loss=-2.55618 val_nll=-4.56420 val_joint_nll=-3.56019 val_pid_acc=0.6772
epoch=06 train_loss=-2.10795 val_loss=-2.58703 val_nll=-4.61493 val_joint_nll=-3.60098 val_pid_acc=0.6770
epoch=07 train_loss=-2.31080 val_loss=-2.37740 val_nll=-4.37598 val_joint_nll=-3.37669 val_pid_acc=0.6770
epoch=08 train_loss=-2.58331 val_loss=-2.85889 val_nll=-4.85659 val_joint_nll=-3.85774 val_pid_acc=0.6761
epoch=09 train_loss=-2.69792 val_loss=-2.74073 val_nll=-4.73018 val_joint_nll=-3.73546 val_pid_acc=0.6772
epoch=10 train_loss=-2.77815 val_loss=-2.92408 val_nll=-4.92555 val_joint_nll=-3.92481 val_pid_acc=0.6754
epoch=11 train_loss=-2.90457 val_loss=-3.34462 val_nll=-5.09109 val_joint_nll=-4.21786 val_pid_acc=0.6992
epoch=12 train_loss=-3.28959 val_loss=-3.66499 val_nll=-5.25653 val_joint_nll=-4.46076 val_pid_acc=0.7177
epoch=13 train_loss=-3.45283 val_loss=-3.77029 val_nll=-5.30915 val_joint_nll=-4.53972 val_pid_acc=0.7238
epoch=14 train_loss=-3.53866 val_loss=-3.83931 val_nll=-5.35028 val_joint_nll=-4.59480 val_pid_acc=0.7269
epoch=15 train_loss=-3.62661 val_loss=-3.91167 val_nll=-5.40764 val_joint_nll=-4.65965 val_pid_acc=0.7298
epoch=16 train_loss=-3.68540 val_loss=-3.87190 val_nll=-5.38529 val_joint_nll=-4.62859 val_pid_acc=0.7262
epoch=17 train_loss=-3.71674 val_loss=-3.95358 val_nll=-5.43826 val_joint_nll=-4.69592 val_pid_acc=0.7327
epoch=18 train_loss=-3.77058 val_loss=-3.96432 val_nll=-5.45020 val_joint_nll=-4.70726 val_pid_acc=0.7307
epoch=19 train_loss=-3.78811 val_loss=-4.00976 val_nll=-5.48508 val_joint_nll=-4.74742 val_pid_acc=0.7328
epoch=20 train_loss=-3.80947 val_loss=-3.96446 val_nll=-5.45154 val_joint_nll=-4.70800 val_pid_acc=0.7312
epoch=21 train_loss=-3.83724 val_loss=-3.99247 val_nll=-5.46976 val_joint_nll=-4.73111 val_pid_acc=0.7317
epoch=22 train_loss=-3.86453 val_loss=-4.02739 val_nll=-5.49834 val_joint_nll=-4.76286 val_pid_acc=0.7334
epoch=23 train_loss=-3.87180 val_loss=-4.02791 val_nll=-5.50840 val_joint_nll=-4.76816 val_pid_acc=0.7311
