device=cuda:0 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/pid_restart_s23_203
loading deterministic, event-disjoint data splits...
loaded train=1,271,243, validation=159,550, test=158,448 in 4.99s
trainable_parameters=3,024,476
epoch=01 train_loss=3.01106 val_loss=-0.00955 val_nll=-2.13384 val_joint_nll=-1.07169 val_pid_acc=0.6744
epoch=02 train_loss=-0.29191 val_loss=-0.74683 val_nll=-2.80740 val_joint_nll=-1.77712 val_pid_acc=0.6739
epoch=03 train_loss=-0.86117 val_loss=-1.76798 val_nll=-3.79238 val_joint_nll=-2.78018 val_pid_acc=0.6753
epoch=04 train_loss=-1.23492 val_loss=-2.04493 val_nll=-4.06142 val_joint_nll=-3.05318 val_pid_acc=0.6751
epoch=05 train_loss=-1.64499 val_loss=-2.15061 val_nll=-4.16355 val_joint_nll=-3.15708 val_pid_acc=0.6751
epoch=06 train_loss=-1.94583 val_loss=-1.78840 val_nll=-3.83817 val_joint_nll=-2.81328 val_pid_acc=0.6736
epoch=07 train_loss=-2.18984 val_loss=-2.37829 val_nll=-4.40857 val_joint_nll=-3.39343 val_pid_acc=0.6753
epoch=08 train_loss=-2.39156 val_loss=-2.64881 val_nll=-4.64513 val_joint_nll=-3.64697 val_pid_acc=0.6757
epoch=09 train_loss=-2.54272 val_loss=-2.74788 val_nll=-4.74376 val_joint_nll=-3.74582 val_pid_acc=0.6752
epoch=10 train_loss=-2.71542 val_loss=-2.78158 val_nll=-4.78029 val_joint_nll=-3.78093 val_pid_acc=0.6761
epoch=11 train_loss=-2.80422 val_loss=-2.79196 val_nll=-4.78454 val_joint_nll=-3.78825 val_pid_acc=0.6763
epoch=12 train_loss=-2.88937 val_loss=-2.85076 val_nll=-4.84010 val_joint_nll=-3.84543 val_pid_acc=0.6768
epoch=13 train_loss=-2.96574 val_loss=-3.06789 val_nll=-5.05346 val_joint_nll=-4.06068 val_pid_acc=0.6763
epoch=14 train_loss=-3.01903 val_loss=-3.10040 val_nll=-5.08318 val_joint_nll=-4.09179 val_pid_acc=0.6765
epoch=15 train_loss=-3.04469 val_loss=-3.07064 val_nll=-5.05567 val_joint_nll=-4.06316 val_pid_acc=0.6758
epoch=16 train_loss=-3.08067 val_loss=-3.04018 val_nll=-5.02087 val_joint_nll=-4.03053 val_pid_acc=0.6771
epoch=17 train_loss=-3.08192 val_loss=-3.15844 val_nll=-5.13437 val_joint_nll=-4.14640 val_pid_acc=0.6768
