generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1519,0.014566496059868594,0.012721832572457847,-211,1.0,1.0000000007807297
-211,pi-,1,1.0,2.0,False,5776,0.010466738677155234,0.006404922256720902,22,1.0,1.0000000007779124
-211,pi-,2,2.0,3.0,False,6624,0.00995262543659527,0.008129274910487316,-211,1.0,0.9999999998409003
-211,pi-,3,3.0,4.0,False,7079,0.013060345641930881,0.011562768195002349,-211,1.0,0.9999999995708683
-211,pi-,4,4.0,5.0,False,6908,0.008204161760711821,0.004970174826981977,-321,1.0000000000000002,1.000000000500402
-211,pi-,5,5.0,6.0,False,6199,0.011753421068873556,0.005081763384898713,-321,1.0,0.9999999995727835
-211,pi-,6,6.0,7.0,False,5897,0.014821491518180059,0.010213827043618173,-211,0.9999999999999999,0.9999999994275203
-211,pi-,7,7.0,8.0,False,4251,0.01597097604673715,0.01252348881355178,-321,1.0,1.0000000003080551
-211,pi-,8,8.0,9.0,True,1195,0.03273447240855366,0.017239107941710824,-321,1.0,1.000000000272555
211,pi+,0,0.0,1.0,False,2973,0.0030317364145678945,0.0019480012472906285,2212,0.9999999999999999,1.000000000613406
211,pi+,1,1.0,2.0,False,7436,0.017528480198394727,0.0169354215867501,211,1.0,0.9999999999353939
211,pi+,2,2.0,3.0,False,7946,0.004024372755972496,0.002802903417253151,2112,1.0000000000000002,0.9999999991288364
211,pi+,3,3.0,4.0,False,8189,0.015057868320281166,0.010924019887524783,211,1.0000000000000002,1.0000000005588823
211,pi+,4,4.0,5.0,False,7961,0.009080111634492316,0.005603537734164138,22,0.9999999999999999,0.999999999986433
211,pi+,5,5.0,6.0,False,7602,0.013119296741490804,0.006663389608824594,321,1.0,0.9999999991077813
211,pi+,6,6.0,7.0,False,7517,0.005960336391589982,0.00396868990142249,321,1.0,0.9999999997805644
211,pi+,7,7.0,8.0,False,5336,0.016153806129796482,0.009818635624728678,321,1.0,0.9999999999460879
211,pi+,8,8.0,9.0,True,1766,0.021033181400565534,0.01616036235581607,2212,1.0,1.0000000013264976
2212,proton,0,0.0,1.0,False,3875,0.0025528476301361395,0.0021803378756984227,2112,1.0,0.9999999995083738
2212,proton,1,1.0,2.0,False,9441,0.003585320729953703,0.002574188190226971,2112,1.0,0.99999999996541
2212,proton,2,2.0,3.0,False,9857,0.0020979108954726627,0.0010677214407408238,211,1.0,1.0000000008436685
2212,proton,3,3.0,4.0,False,10070,0.006222936282107354,0.003557903547086884,45,1.0,0.9999999992857582
2212,proton,4,4.0,5.0,False,10569,0.005061039522883673,0.001989845714300706,22,1.0,1.0000000008379692
2212,proton,5,5.0,6.0,False,9151,0.010991359180234863,0.005575136701973224,22,1.0,0.9999999994671379
2212,proton,6,6.0,7.0,False,3311,0.012198868965609184,0.00748416407883834,2212,1.0,1.000000001248734
