generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1580,0.05809749372366174,0.05477431540530697,2112,1.0,1.0000000023655637
-211,pi-,1,1.0,2.0,False,5787,0.0368496582345396,0.019659052464704826,22,1.0,1.0000000014352801
-211,pi-,2,2.0,3.0,False,6576,0.04240551437664625,0.03497688088055673,-211,1.0,0.999999998478131
-211,pi-,3,3.0,4.0,False,7252,0.04104937660927035,0.025839926752384,-211,1.0,0.999999999911544
-211,pi-,4,4.0,5.0,False,7160,0.044796738801111805,0.0320779798005818,-321,1.0,0.999999999586419
-211,pi-,5,5.0,6.0,False,6437,0.05205237996348987,0.024135944877132626,11,1.0000000000000002,0.9999999996283998
-211,pi-,6,6.0,7.0,False,6131,0.031247392319026342,0.018855094015784953,2212,1.0,0.9999999996466344
-211,pi-,7,7.0,8.0,False,4147,0.06330772813332958,0.03245206678300566,-321,1.0,0.9999999999151346
-211,pi-,8,8.0,9.0,True,1174,0.06320420062190461,0.03502446992062605,-321,0.9999999999999999,1.000000002054788
211,pi+,0,0.0,1.0,False,3055,0.029355217939091564,0.02935521733838875,211,0.9999999999999999,1.0000000012014056
211,pi+,1,1.0,2.0,False,7508,0.02087699295755196,0.01476808842487403,22,1.0,1.0000000001176086
211,pi+,2,2.0,3.0,False,7882,0.03955560614655289,0.024817228755863896,211,1.0,1.0000000004961538
211,pi+,3,3.0,4.0,False,8038,0.03461452950654549,0.02208288447424659,-11,1.0,1.000000000532785
211,pi+,4,4.0,5.0,False,8039,0.05280022321145674,0.03398115252806025,321,1.0,1.0000000004608263
211,pi+,5,5.0,6.0,False,7669,0.05922235034314301,0.04128720280531567,211,1.0,1.0000000011784047
211,pi+,6,6.0,7.0,False,7440,0.0310109288993603,0.01940517367949078,-11,1.0,1.0000000005712861
211,pi+,7,7.0,8.0,False,5391,0.039970178995636305,0.033118393184401906,321,1.0,0.9999999988922785
211,pi+,8,8.0,9.0,True,1795,0.05643121262591773,0.049525988517033354,321,0.9999999999999999,0.9999999997032474
2212,proton,0,0.0,1.0,False,3694,0.026367115758300273,0.024658637525716398,2212,1.0,0.9999999995578737
2212,proton,1,1.0,2.0,False,9364,0.02454015861413652,0.01647449087050005,22,1.0,1.00000000020382
2212,proton,2,2.0,3.0,False,10005,0.015619592943563524,0.0066008334258931545,2112,1.0,0.9999999992900399
2212,proton,3,3.0,4.0,False,10255,0.02044809411473968,0.012874645810040289,22,1.0,1.0000000001129339
2212,proton,4,4.0,5.0,False,10530,0.022499127406710097,0.011848669606132706,22,1.0,1.0000000002264078
2212,proton,5,5.0,6.0,False,9188,0.04511963328869486,0.025751626994996016,321,1.0,1.0000000002922935
2212,proton,6,6.0,7.0,False,3170,0.06764643784658518,0.035761524003868686,321,1.0,0.9999999998078709
