device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pid_decoupled_20260823
loading deterministic, event-disjoint data splits...
loaded train=1,271,243, validation=159,550, test=158,448 in 5.17s
trainable_parameters=3,024,476
epoch=01 train_loss=1.56754 val_loss=-1.12101 val_nll=-3.17897 val_joint_nll=-2.14999 val_pid_acc=0.6742
epoch=02 train_loss=-0.44237 val_loss=-1.39873 val_nll=-3.42899 val_joint_nll=-2.41386 val_pid_acc=0.6749
epoch=03 train_loss=-0.85568 val_loss=-1.42143 val_nll=-3.45436 val_joint_nll=-2.43790 val_pid_acc=0.6756
epoch=04 train_loss=-1.44498 val_loss=-1.86430 val_nll=-3.88270 val_joint_nll=-2.87350 val_pid_acc=0.6748
epoch=05 train_loss=-1.57119 val_loss=-1.34041 val_nll=-3.35487 val_joint_nll=-2.34764 val_pid_acc=0.6754
epoch=06 train_loss=-1.79058 val_loss=-2.13474 val_nll=-4.14750 val_joint_nll=-3.14112 val_pid_acc=0.6749
epoch=07 train_loss=-1.94738 val_loss=-2.45097 val_nll=-4.47027 val_joint_nll=-3.46062 val_pid_acc=0.6763
epoch=08 train_loss=-2.15363 val_loss=-2.25198 val_nll=-4.28562 val_joint_nll=-3.26880 val_pid_acc=0.6756
epoch=09 train_loss=-2.40244 val_loss=-2.55935 val_nll=-4.56929 val_joint_nll=-3.56432 val_pid_acc=0.6754
epoch=10 train_loss=-2.60821 val_loss=-2.94295 val_nll=-4.93659 val_joint_nll=-3.93977 val_pid_acc=0.6755
epoch=11 train_loss=-2.78142 val_loss=-2.98536 val_nll=-4.97563 val_joint_nll=-3.98049 val_pid_acc=0.6761
epoch=12 train_loss=-2.87137 val_loss=-2.99010 val_nll=-4.97507 val_joint_nll=-3.98258 val_pid_acc=0.6763
epoch=13 train_loss=-2.92095 val_loss=-3.01579 val_nll=-5.00409 val_joint_nll=-4.00994 val_pid_acc=0.6762
epoch=14 train_loss=-2.95243 val_loss=-2.99725 val_nll=-4.99185 val_joint_nll=-3.99455 val_pid_acc=0.6754
epoch=15 train_loss=-3.01355 val_loss=-2.98783 val_nll=-4.96746 val_joint_nll=-3.97764 val_pid_acc=0.6767
epoch=16 train_loss=-3.04630 val_loss=-3.04349 val_nll=-5.02278 val_joint_nll=-4.03313 val_pid_acc=0.6774
epoch=17 train_loss=-3.07997 val_loss=-3.15779 val_nll=-5.13672 val_joint_nll=-4.14726 val_pid_acc=0.6765
epoch=18 train_loss=-3.11965 val_loss=-3.11445 val_nll=-5.09660 val_joint_nll=-4.10553 val_pid_acc=0.6756
epoch=19 train_loss=-3.14107 val_loss=-3.16623 val_nll=-5.14354 val_joint_nll=-4.15488 val_pid_acc=0.6766
epoch=20 train_loss=-3.16588 val_loss=-3.18135 val_nll=-5.15787 val_joint_nll=-4.16961 val_pid_acc=0.6770
epoch=21 train_loss=-3.18578 val_loss=-3.18798 val_nll=-5.16121 val_joint_nll=-4.17460 val_pid_acc=0.6773
epoch=22 train_loss=-3.19622 val_loss=-3.24495 val_nll=-5.21551 val_joint_nll=-4.23023 val_pid_acc=0.6778
epoch=23 train_loss=-3.20982 val_loss=-3.23502 val_nll=-5.20613 val_joint_nll=-4.22057 val_pid_acc=0.6779
epoch=24 train_loss=-3.23125 val_loss=-3.27312 val_nll=-5.24622 val_joint_nll=-4.25967 val_pid_acc=0.6774
epoch=25 train_loss=-3.24545 val_loss=-3.26726 val_nll=-5.24018 val_joint_nll=-4.25372 val_pid_acc=0.6770
epoch=26 train_loss=-3.25512 val_loss=-3.28300 val_nll=-5.25428 val_joint_nll=-4.26864 val_pid_acc=0.6775
epoch=27 train_loss=-3.26342 val_loss=-3.28734 val_nll=-5.25823 val_joint_nll=-4.27278 val_pid_acc=0.6776
epoch=28 train_loss=-3.26795 val_loss=-3.27584 val_nll=-5.24527 val_joint_nll=-4.26056 val_pid_acc=0.6779
epoch=29 train_loss=-3.27591 val_loss=-3.29358 val_nll=-5.26284 val_joint_nll=-4.27821 val_pid_acc=0.6777
epoch=30 train_loss=-3.27960 val_loss=-3.27911 val_nll=-5.24871 val_joint_nll=-4.26391 val_pid_acc=0.6775
