generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1580,0.02411247483023544,0.020759974799512415,-211,1.0,0.999999999009338
-211,pi-,1,1.0,2.0,False,5787,0.0064130620631633484,0.005391628009165594,-211,1.0,1.000000000521527
-211,pi-,2,2.0,3.0,False,6576,0.014170013044383319,0.013908531854821549,-211,1.0,0.9999999984482534
-211,pi-,3,3.0,4.0,False,7252,0.01769894369155277,0.010666583174059663,-211,1.0,0.9999999993058794
-211,pi-,4,4.0,5.0,False,7160,0.009877876057647552,0.0056207870410763805,-211,1.0,1.0000000004602931
-211,pi-,5,5.0,6.0,False,6437,0.017191458508897205,0.010004315640478864,-2212,1.0000000000000002,0.9999999990715146
-211,pi-,6,6.0,7.0,False,6131,0.017218603644476454,0.014201390298811511,-211,1.0,1.0000000009774828
-211,pi-,7,7.0,8.0,False,4147,0.017738174858795357,0.009815181455145733,-321,1.0,1.0000000009570533
-211,pi-,8,8.0,9.0,True,1174,0.027823016357657118,0.0201338440589931,-2212,0.9999999999999999,1.000000000458461
211,pi+,0,0.0,1.0,False,3055,0.00872447623846855,0.007100725654701656,211,0.9999999999999999,0.9999999990970737
211,pi+,1,1.0,2.0,False,7508,0.022460977567144037,0.02169581439066226,211,1.0,1.000000000536215
211,pi+,2,2.0,3.0,False,7882,0.01086033536613452,0.00782949152073864,211,1.0,0.9999999986892004
211,pi+,3,3.0,4.0,False,8038,0.015465356988832316,0.014794937961320698,211,1.0,0.9999999999189403
211,pi+,4,4.0,5.0,False,8039,0.008363982128086839,0.004026617885823626,45,1.0,0.9999999999298042
211,pi+,5,5.0,6.0,False,7669,0.0102455231263749,0.005278212171628896,-11,1.0,1.0000000003072342
211,pi+,6,6.0,7.0,False,7440,0.019240265300216008,0.012458132679063483,211,1.0,1.000000000441143
211,pi+,7,7.0,8.0,False,5391,0.014374903487107047,0.012426706765519394,22,1.0,0.9999999998823452
211,pi+,8,8.0,9.0,True,1795,0.02963735069696284,0.020556589095622385,2212,0.9999999999999999,1.0000000002506166
2212,proton,0,0.0,1.0,False,3694,0.002078617424120736,0.001204769485211895,321,1.0,1.0000000002707061
2212,proton,1,1.0,2.0,False,9364,0.007120718703620333,0.005633958132793437,2212,1.0,0.9999999993534265
2212,proton,2,2.0,3.0,False,10005,0.007432881420041058,0.004148797270179128,45,1.0,1.0000000005194685
2212,proton,3,3.0,4.0,False,10255,0.004100601242893385,0.002385493876959223,45,1.0,1.0000000006451641
2212,proton,4,4.0,5.0,False,10530,0.010233631752020965,0.00998236627900817,2212,1.0,0.9999999991261567
2212,proton,5,5.0,6.0,False,9188,0.010382634978898256,0.0062515008870250854,2212,1.0,1.0000000000843545
2212,proton,6,6.0,7.0,False,3170,0.005192076440807935,0.002974580408717356,45,1.0,1.0000000002835692
