species_pid,species,conditioning_variable,bin_index,bin_low,bin_high,n,target,observed_mean,sampled_mean,absolute_mean_difference,observed_std,sampled_std,std_ratio,wasserstein_1d
-211,pi-,gen_p,0,0.30015063285827637,2.299747943878174,9215,delta_p,-0.13454537093639374,-0.12955524027347565,0.004990130662918091,0.49456629157066345,0.5099813342094421,1.0311688097258367,0.015131944790482521
-211,pi-,gen_p,0,0.30015063285827637,2.299747943878174,9215,delta_theta,-0.007684153039008379,-0.008406911976635456,0.0007227589376270771,0.12139797955751419,0.12513749301433563,1.0308037536576116,0.0033648337703198195
-211,pi-,gen_p,0,0.30015063285827637,2.299747943878174,9215,delta_phi,0.08731447905302048,0.08855624496936798,0.0012417659163475037,0.9283733367919922,0.8373241424560547,0.9019260994175475,0.0498836524784565
-211,pi-,gen_p,1,2.299747943878174,3.631834030151367,9215,delta_p,-0.44467055797576904,-0.4455719292163849,0.0009013712406158447,0.8934457302093506,0.8990058898925781,1.0062232763504557,0.014156699180603027
-211,pi-,gen_p,1,2.299747943878174,3.631834030151367,9215,delta_theta,0.0002763670345302671,-0.0003254912735428661,0.0006018583080731332,0.1058116927742958,0.10634081065654755,1.0050005615483384,0.0014826377155259252
-211,pi-,gen_p,1,2.299747943878174,3.631834030151367,9215,delta_phi,-0.02378913015127182,-0.020841222256422043,0.0029479078948497772,0.6106057167053223,0.5868992805480957,0.9611755417470694,0.014680042862892151
-211,pi-,gen_p,2,3.631834030151367,4.919680595397949,9215,delta_p,-0.6933815479278564,-0.6954287886619568,0.002047240734100342,1.3784934282302856,1.3733024597167969,0.9962343175475613,0.018329713493585587
-211,pi-,gen_p,2,3.631834030151367,4.919680595397949,9215,delta_theta,-0.0019820723682641983,-0.0032003107480704784,0.0012182383798062801,0.10118839144706726,0.09967736899852753,0.9850672352141286,0.0018024612218141556
-211,pi-,gen_p,2,3.631834030151367,4.919680595397949,9215,delta_phi,-0.032429710030555725,-0.013850400224328041,0.018579309806227684,0.5240145921707153,0.5208514332771301,0.993963605325413,0.01977814920246601
-211,pi-,gen_p,3,4.919680595397949,6.390552043914795,9215,delta_p,-1.0529000759124756,-1.0374289751052856,0.015471100807189941,1.9690884351730347,1.9662177562713623,0.9985421279966941,0.04116790369153023
-211,pi-,gen_p,3,4.919680595397949,6.390552043914795,9215,delta_theta,-0.004517050459980965,-0.004349077586084604,0.0001679728738963604,0.10389295965433121,0.10345892608165741,0.9958223004319263,0.0016761375591158867
-211,pi-,gen_p,3,4.919680595397949,6.390552043914795,9215,delta_phi,-0.017268167808651924,-0.013267873786389828,0.004000294022262096,0.5012422800064087,0.4929410219192505,0.983438631539518,0.01435323990881443
-211,pi-,gen_p,4,6.390552043914795,8.966851234436035,9216,delta_p,-1.4810268878936768,-1.4609631299972534,0.02006375789642334,2.7158145904541016,2.7061288356781006,0.9964335728918883,0.0325828455388546
-211,pi-,gen_p,4,6.390552043914795,8.966851234436035,9216,delta_theta,0.019877295941114426,0.01992148347198963,4.4187530875205994e-05,0.08398247510194778,0.08402089029550552,1.000457419164071,0.002024619607254863
-211,pi-,gen_p,4,6.390552043914795,8.966851234436035,9216,delta_phi,-0.012510127387940884,-0.01498456485569477,0.002474437467753887,0.49145054817199707,0.49454620480537415,1.0062990195959527,0.026800483465194702
-211,pi-,gen_theta,0,0.08726751804351807,0.22880595922470093,9215,delta_p,-1.9377217292785645,-1.9360761642456055,0.0016455650329589844,2.4535114765167236,2.4643542766571045,1.0044192987251783,0.02082633040845394
-211,pi-,gen_theta,0,0.08726751804351807,0.22880595922470093,9215,delta_theta,0.07998442649841309,0.07885818928480148,0.0011262372136116028,0.1272578239440918,0.12581300735473633,0.9886465401923719,0.004768473096191883
-211,pi-,gen_theta,0,0.08726751804351807,0.22880595922470093,9215,delta_phi,0.03149848431348801,0.03588135913014412,0.004382874816656113,1.1017979383468628,1.0440806150436401,0.9476153282789568,0.04489659145474434
-211,pi-,gen_theta,1,0.22880595922470093,0.3273025155067444,9215,delta_p,-0.5072895884513855,-0.4594004452228546,0.047889143228530884,1.5168970823287964,1.449293851852417,0.955433212138168,0.05028913542628288
-211,pi-,gen_theta,1,0.22880595922470093,0.3273025155067444,9215,delta_theta,0.0037974328733980656,0.004478896036744118,0.0006814631633460522,0.050898924469947815,0.05060074105858803,0.9941416559492167,0.001085586496628821
-211,pi-,gen_theta,1,0.22880595922470093,0.3273025155067444,9215,delta_phi,0.01493627019226551,0.019095882773399353,0.0041596125811338425,0.5229578614234924,0.471243679523468,0.9011121436070235,0.021611221134662628
-211,pi-,gen_theta,2,0.3273025155067444,0.41804254055023193,9215,delta_p,-0.3725198209285736,-0.39010128378868103,0.017581462860107422,1.2578691244125366,1.2934541702270508,1.0282899429868217,0.027136698365211487
-211,pi-,gen_theta,2,0.3273025155067444,0.41804254055023193,9215,delta_theta,-0.004210330080240965,-0.004582347813993692,0.0003720177337527275,0.0406644307076931,0.04307938367128372,1.0593873545396455,0.0007716766558587551
-211,pi-,gen_theta,2,0.3273025155067444,0.41804254055023193,9215,delta_phi,-0.001975512132048607,0.002675008960068226,0.004650521092116833,0.3631126880645752,0.35712164640426636,0.9835008749150528,0.018324024975299835
-211,pi-,gen_theta,3,0.41804254055023193,0.5044109225273132,9215,delta_p,-0.29446908831596375,-0.27529266476631165,0.0191764235496521,1.1195193529129028,1.0750010013580322,0.9602344064539508,0.02630370482802391
-211,pi-,gen_theta,3,0.41804254055023193,0.5044109225273132,9215,delta_theta,-0.0074983686208724976,-0.007468110881745815,3.025773912668228e-05,0.042347609996795654,0.04251731187105179,1.0040073542348429,0.0013559377985075116
-211,pi-,gen_theta,3,0.41804254055023193,0.5044109225273132,9215,delta_phi,-0.0034727719612419605,-0.0030090867076069117,0.00046368525363504887,0.3120013475418091,0.28586649894714355,0.9162348214179961,0.009819640778005123
-211,pi-,gen_theta,4,0.5044109225273132,2.0426015853881836,9216,delta_p,-0.6946096420288086,-0.7081594467163086,0.0135498046875,1.5228601694107056,1.5371028184890747,1.0093525652351132,0.022848566994071007
-211,pi-,gen_theta,4,0.5044109225273132,2.0426015853881836,9216,delta_theta,-0.06609344482421875,-0.06763744354248047,0.0015439987182617188,0.1463204026222229,0.14905747771263123,1.0187060385384192,0.0024736220948398113
-211,pi-,gen_theta,4,0.5044109225273132,2.0426015853881836,9216,delta_phi,-0.03966618701815605,-0.02902946248650551,0.010636724531650543,0.540667712688446,0.5379014611244202,0.9948836383251539,0.013552216812968254
-211,pi-,gen_phi,0,-3.141592653589793,-2.0943951023931957,7669,delta_p,-0.750046968460083,-0.7401273250579834,0.00991964340209961,1.7373878955841064,1.7320109605789185,0.9969051614674798,0.0156863983720541
-211,pi-,gen_phi,0,-3.141592653589793,-2.0943951023931957,7669,delta_theta,0.0024219437036663294,0.0009245574474334717,0.0014973862562328577,0.10299723595380783,0.10382501780986786,1.0080369327234302,0.00209914892911911
-211,pi-,gen_phi,0,-3.141592653589793,-2.0943951023931957,7669,delta_phi,0.010356893762946129,0.0052125523798167706,0.005144341383129358,0.6353124976158142,0.6068315505981445,0.955170176685407,0.019198866561055183
-211,pi-,gen_phi,1,-2.0943951023931957,-1.0471975511965979,7758,delta_p,-0.7576133608818054,-0.7593328356742859,0.0017194747924804688,1.733850359916687,1.756791591644287,1.0132313792804486,0.017411133274435997
-211,pi-,gen_phi,1,-2.0943951023931957,-1.0471975511965979,7758,delta_theta,7.330052903853357e-05,-0.00036606317735277116,0.00043936370639130473,0.10338094085454941,0.10429896414279938,1.0088800051601539,0.00230411603115499
-211,pi-,gen_phi,1,-2.0943951023931957,-1.0471975511965979,7758,delta_phi,0.009962438605725765,0.009841366671025753,0.00012107193470001221,0.6200751662254333,0.5920668840408325,0.9548308274380751,0.023097097873687744
-211,pi-,gen_phi,2,-1.0471975511965979,0.0,7595,delta_p,-0.7680982351303101,-0.7278721928596497,0.0402260422706604,1.7689145803451538,1.7079354524612427,0.9655273756226189,0.05497023090720177
