generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1535,0.013758994434732434,0.01110807936353242,-211,1.0,1.0000000008683279
-211,pi-,1,1.0,2.0,False,5741,0.015497987650346845,0.014793067774510282,-211,1.0,0.9999999997417018
-211,pi-,2,2.0,3.0,False,6745,0.01052780762195049,0.007040196823795419,-211,0.9999999999999999,0.9999999999001487
-211,pi-,3,3.0,4.0,False,7007,0.007578515201020528,0.003852442177940528,-2212,1.0,0.9999999989154379
-211,pi-,4,4.0,5.0,False,7161,0.011397684021710135,0.005755389417374607,-321,1.0,0.9999999999258791
-211,pi-,5,5.0,6.0,False,6295,0.01967922387686046,0.012804377821161728,-321,1.0,0.9999999986331946
-211,pi-,6,6.0,7.0,False,6058,0.007386371688282849,0.003397553903043027,2112,1.0,0.9999999995301658
-211,pi-,7,7.0,8.0,False,4294,0.015578592024718181,0.011142633496369098,-321,1.0,0.9999999995246455
-211,pi-,8,8.0,9.0,True,1240,0.027821845907305933,0.014107029861876175,-321,0.9999999999999998,0.9999999987864362
211,pi+,0,0.0,1.0,False,3109,0.004464410578411051,0.0026107570575835126,211,1.0,0.9999999991472406
211,pi+,1,1.0,2.0,False,7599,0.008525699765353204,0.006684774747881983,211,0.9999999999999999,1.000000000136014
211,pi+,2,2.0,3.0,False,7961,0.011590812478238613,0.007117292664186037,211,1.0,0.999999999640374
211,pi+,3,3.0,4.0,False,8230,0.011313842484262242,0.00875690480737179,211,0.9999999999999999,0.9999999994304127
211,pi+,4,4.0,5.0,False,8129,0.01053407810276315,0.005938712161376675,45,1.0,1.0000000003375422
211,pi+,5,5.0,6.0,False,7613,0.013522696696233254,0.007146860093380399,2112,1.0,1.0000000004286438
211,pi+,6,6.0,7.0,False,7483,0.013587241292024274,0.010437850915189284,211,1.0,1.0000000001537508
211,pi+,7,7.0,8.0,False,5437,0.011568809574671506,0.008103470001640356,211,1.0,1.0000000001952536
211,pi+,8,8.0,9.0,True,1779,0.036508173552938325,0.020246142842935133,321,1.0,1.000000000537512
2212,proton,0,0.0,1.0,False,3661,0.0006714920301281515,0.000572622658025057,321,1.0,0.9999999998134492
2212,proton,1,1.0,2.0,False,9336,0.004536440121828413,0.0029879948244994348,2112,1.0,0.9999999997333585
2212,proton,2,2.0,3.0,False,9954,0.005124439269374455,0.0025354468428636645,2112,1.0,0.9999999996935227
2212,proton,3,3.0,4.0,False,10264,0.006129133588074317,0.0035206828054421546,2212,1.0,0.9999999998695367
2212,proton,4,4.0,5.0,False,10349,0.007581629938705261,0.005423886590415081,45,1.0,0.9999999998742682
2212,proton,5,5.0,6.0,False,9132,0.010420540656144537,0.008053564129171242,2212,1.0,1.0000000006474332
2212,proton,6,6.0,7.0,False,3285,0.012512811201877938,0.00838242505919444,22,1.0,0.999999999456487
