device=cuda:1 run_dir=/home/htseng/Downloads/QuantumMC_Forward_Foundation_Model/runs/seed_pidweight_warmup_20260825
loading deterministic, event-disjoint data splits...
loaded train=1,271,345, validation=158,654, test=159,242 in 5.16s
trainable_parameters=3,024,476
epoch=01 train_loss=4.52556 val_loss=0.08054 val_nll=-2.16128 val_joint_nll=-1.04037 val_pid_acc=0.6742
epoch=02 train_loss=0.00498 val_loss=-1.27324 val_nll=-3.36578 val_joint_nll=-2.31951 val_pid_acc=0.6752
epoch=03 train_loss=-0.87963 val_loss=-1.75844 val_nll=-3.81043 val_joint_nll=-2.78443 val_pid_acc=0.6758
epoch=04 train_loss=-0.76204 val_loss=0.14701 val_nll=-1.89038 val_joint_nll=-0.87168 val_pid_acc=0.6762
epoch=05 train_loss=-1.06741 val_loss=-1.47781 val_nll=-3.53455 val_joint_nll=-2.50618 val_pid_acc=0.6743
epoch=06 train_loss=-0.99821 val_loss=-2.07128 val_nll=-4.09009 val_joint_nll=-3.08069 val_pid_acc=0.6759
epoch=07 train_loss=-1.39023 val_loss=-0.93356 val_nll=-2.99465 val_joint_nll=-1.96410 val_pid_acc=0.6766
epoch=08 train_loss=-1.63256 val_loss=-2.06315 val_nll=-4.08731 val_joint_nll=-3.07523 val_pid_acc=0.6759
epoch=09 train_loss=-2.14250 val_loss=-2.17100 val_nll=-4.18417 val_joint_nll=-3.17759 val_pid_acc=0.6752
epoch=10 train_loss=-2.44722 val_loss=-2.78121 val_nll=-4.77929 val_joint_nll=-3.78025 val_pid_acc=0.6768
epoch=11 train_loss=-2.61264 val_loss=-2.82601 val_nll=-4.82140 val_joint_nll=-3.82370 val_pid_acc=0.6777
epoch=12 train_loss=-2.71529 val_loss=-2.76837 val_nll=-4.75834 val_joint_nll=-3.76336 val_pid_acc=0.6771
epoch=13 train_loss=-2.81542 val_loss=-2.99612 val_nll=-4.98324 val_joint_nll=-3.98968 val_pid_acc=0.6775
epoch=14 train_loss=-2.85732 val_loss=-3.02111 val_nll=-5.01077 val_joint_nll=-4.01594 val_pid_acc=0.6765
epoch=15 train_loss=-2.91082 val_loss=-3.02485 val_nll=-5.01139 val_joint_nll=-4.01812 val_pid_acc=0.6772
epoch=16 train_loss=-2.94812 val_loss=-2.87658 val_nll=-4.86500 val_joint_nll=-3.87079 val_pid_acc=0.6774
epoch=17 train_loss=-2.95633 val_loss=-3.06865 val_nll=-5.05565 val_joint_nll=-4.06215 val_pid_acc=0.6758
epoch=18 train_loss=-3.01682 val_loss=-3.12355 val_nll=-5.10143 val_joint_nll=-4.11249 val_pid_acc=0.6773
epoch=19 train_loss=-3.04640 val_loss=-3.12563 val_nll=-5.10862 val_joint_nll=-4.11713 val_pid_acc=0.6763
epoch=20 train_loss=-3.06754 val_loss=-3.15145 val_nll=-5.13213 val_joint_nll=-4.14179 val_pid_acc=0.6776
epoch=21 train_loss=-3.09834 val_loss=-3.20987 val_nll=-5.18722 val_joint_nll=-4.19855 val_pid_acc=0.6774
