generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1535,0.014659919691174444,0.011986563580754561,-211,1.0,1.0000000016601116
-211,pi-,1,1.0,2.0,False,5741,0.014145072742577033,0.013265184083997905,-211,1.0,0.9999999995644998
-211,pi-,2,2.0,3.0,False,6745,0.01097548811603897,0.009091031542481143,-211,0.9999999999999999,0.9999999995782989
-211,pi-,3,3.0,4.0,False,7007,0.006870453436948894,0.0038711620741644845,-2212,1.0,0.9999999986651987
-211,pi-,4,4.0,5.0,False,7161,0.010626389723781538,0.005294700814595293,-321,1.0,0.9999999993370993
-211,pi-,5,5.0,6.0,False,6295,0.016894784490024278,0.00952209959094344,-321,1.0,1.0000000001001823
-211,pi-,6,6.0,7.0,False,6058,0.007315539173095849,0.0033293601139929713,22,1.0,1.0000000007283945
-211,pi-,7,7.0,8.0,False,4294,0.016053260853582614,0.011741624118811855,-321,1.0,1.0000000013466497
-211,pi-,8,8.0,9.0,True,1240,0.02796458578510056,0.014413513917961307,-211,0.9999999999999998,0.9999999996762071
211,pi+,0,0.0,1.0,False,3109,0.0036069269461130927,0.002135193906874222,211,1.0,0.9999999982869372
211,pi+,1,1.0,2.0,False,7599,0.009273020606384965,0.00759581399483189,211,0.9999999999999999,1.000000000571299
211,pi+,2,2.0,3.0,False,7961,0.008419254464578323,0.004398680372672992,211,1.0,0.9999999997637198
211,pi+,3,3.0,4.0,False,8230,0.014246218954992458,0.011970178726811609,211,0.9999999999999999,1.000000000148872
211,pi+,4,4.0,5.0,False,8129,0.008936670678355275,0.004879762164800204,45,1.0,1.000000000013186
211,pi+,5,5.0,6.0,False,7613,0.010632787815658315,0.007280412869439611,2112,1.0,1.000000000758799
211,pi+,6,6.0,7.0,False,7483,0.013477789437649343,0.009799237529192484,211,1.0,0.9999999998991344
211,pi+,7,7.0,8.0,False,5437,0.010814351430219896,0.007205450615122955,211,1.0,0.9999999999723338
211,pi+,8,8.0,9.0,True,1779,0.03485597062566785,0.019021334171613447,321,1.0,0.9999999998179473
2212,proton,0,0.0,1.0,False,3661,0.0005763804400437677,0.0003330343642284092,-11,1.0,1.0000000001402336
2212,proton,1,1.0,2.0,False,9336,0.004321503509928853,0.0029852314066948216,2112,1.0,0.9999999997961715
2212,proton,2,2.0,3.0,False,9954,0.004563833209999641,0.002902930642464413,22,1.0,0.9999999984000926
2212,proton,3,3.0,4.0,False,10264,0.005264605571477545,0.0026832868969169574,45,1.0,0.9999999999937167
2212,proton,4,4.0,5.0,False,10349,0.008454998246256748,0.005760460507995065,45,1.0,1.0000000006894474
2212,proton,5,5.0,6.0,False,9132,0.009172735778509073,0.006083799889160191,2212,1.0,0.9999999993454799
2212,proton,6,6.0,7.0,False,3285,0.011118202662493807,0.007786335044255535,22,1.0,1.0000000002401963
