generated_pid,generated_species,bin_index,p_low_gev,p_high_gev,upper_edge_inclusive,n,total_variation_distance,max_absolute_class_difference,worst_reconstructed_pid,coatjava_row_sum,fm_row_sum
-211,pi-,0,0.0,1.0,False,1595,0.010047979784919319,0.005677197430995207,2112,1.0,1.0000000011368972
-211,pi-,1,1.0,2.0,False,5771,0.004051447688657988,0.003595569040777985,22,0.9999999999999999,0.9999999983939069
-211,pi-,2,2.0,3.0,False,6524,0.007193427688918852,0.004625201302082049,22,1.0,0.9999999988931234
-211,pi-,3,3.0,4.0,False,6918,0.013947045197129792,0.008152831328171462,-211,1.0,1.0000000003273233
-211,pi-,4,4.0,5.0,False,7084,0.009927612389831279,0.006766158263553895,-321,1.0,1.0000000016972117
-211,pi-,5,5.0,6.0,False,6303,0.018504452707926493,0.01409739091826015,-321,1.0000000000000002,1.0000000006635918
-211,pi-,6,6.0,7.0,False,6117,0.009454339779861522,0.004912377891900743,-211,0.9999999999999999,0.999999998830635
-211,pi-,7,7.0,8.0,False,4246,0.010675490808721943,0.004426769380998591,2112,1.0,0.9999999996051251
-211,pi-,8,8.0,9.0,True,1259,0.030303713869272064,0.01871031166495929,22,1.0,1.0000000005440863
211,pi+,0,0.0,1.0,False,3130,0.005764643333860266,0.002971201488888039,2112,1.0,1.000000001517231
211,pi+,1,1.0,2.0,False,7481,0.007758845655491636,0.004238970960155353,211,1.0,1.0000000005351823
211,pi+,2,2.0,3.0,False,7913,0.006361884190793089,0.004248567032569497,321,1.0,0.9999999996842325
211,pi+,3,3.0,4.0,False,8129,0.005493863139086494,0.004096313656386463,321,0.9999999999999999,0.9999999998434627
211,pi+,4,4.0,5.0,False,8030,0.012154802077864112,0.0064693895753143715,321,1.0,0.9999999990714332
211,pi+,5,5.0,6.0,False,7669,0.009229281308623926,0.006318894136766395,-11,1.0,0.9999999992933639
211,pi+,6,6.0,7.0,False,7389,0.017489944222904386,0.009845335851754289,211,1.0,1.0000000000809428
211,pi+,7,7.0,8.0,False,5468,0.0065027299470010215,0.004164516577672889,2212,1.0,0.9999999999271006
211,pi+,8,8.0,9.0,True,1758,0.01633966544730139,0.01453930016636712,321,1.0,1.0000000021954247
2212,proton,0,0.0,1.0,False,3667,0.0023657341264470915,0.0015094921556538564,211,1.0,1.0000000017682829
2212,proton,1,1.0,2.0,False,9285,0.004426270792735871,0.002881148301689235,22,1.0,0.9999999995605358
2212,proton,2,2.0,3.0,False,9840,0.006700719531218469,0.004260172363279802,2112,1.0,0.9999999995318495
2212,proton,3,3.0,4.0,False,10182,0.007839342991480631,0.004258127439276116,2212,1.0,1.0000000003976683
2212,proton,4,4.0,5.0,False,10514,0.009314940138574835,0.004713798583472206,2212,1.0,1.000000000843574
2212,proton,5,5.0,6.0,False,9195,0.0065112524516325225,0.004384734225117537,2212,1.0,0.9999999991051299
2212,proton,6,6.0,7.0,False,3189,0.02285822492154612,0.015337322857003066,2212,1.0,1.0000000008476788
