bin_index,probability_low,probability_high,n,mean_predicted_probability,observed_trigger_rate,absolute_calibration_gap
0,0.0,0.05,195229,0.002983607118949294,0.0023664517793804407,0.0006171553395688534
1,0.05,0.1,8174,0.07224439084529877,0.06802055239677429,0.004223838448524475
2,0.1,0.15000000000000002,4961,0.12366288900375366,0.1118726059794426,0.011790283024311066
3,0.15000000000000002,0.2,3533,0.1740502566099167,0.17605434358119965,0.002004086971282959
4,0.2,0.25,3096,0.22466303408145905,0.24257105588912964,0.017908021807670593
5,0.25,0.30000000000000004,2662,0.27447980642318726,0.26483845710754395,0.00964134931564331
6,0.30000000000000004,0.35000000000000003,2550,0.32449620962142944,0.3341176509857178,0.00962144136428833
7,0.35000000000000003,0.4,2508,0.3748451769351959,0.379585325717926,0.0047401487827301025
8,0.4,0.45,2417,0.42512407898902893,0.42407944798469543,0.001044631004333496
9,0.45,0.5,2520,0.4751070439815521,0.47658729553222656,0.0014802515506744385
10,0.5,0.55,2686,0.5258784294128418,0.5495160222053528,0.023637592792510986
11,0.55,0.6000000000000001,2800,0.5760098695755005,0.5950000286102295,0.018990159034729004
12,0.6000000000000001,0.65,3221,0.6254808902740479,0.635827362537384,0.010346472263336182
13,0.65,0.7000000000000001,3715,0.676298201084137,0.689367413520813,0.013069212436676025
14,0.7000000000000001,0.75,4863,0.7261109948158264,0.740695059299469,0.014584064483642578
15,0.75,0.8,6565,0.7766824960708618,0.801218569278717,0.024536073207855225
16,0.8,0.8500000000000001,12807,0.8292025923728943,0.8471148610115051,0.01791226863861084
17,0.8500000000000001,0.9,125334,0.8846858739852905,0.8881787657737732,0.003492891788482666
18,0.9,0.9500000000000001,110797,0.9118553996086121,0.9110805988311768,0.0007748007774353027
