p_bin,theta_bin,p_low_gev,p_high_gev,theta_low_deg,theta_high_deg,n,observed_efficiency,fm_mean_probability,signed_difference_fm_minus_mc,absolute_difference,observed_binomial_standard_error
2,1,2.0,3.0,5.0,10.0,16170,0.0,5.606576451100409e-06,5.606576451100409e-06,5.606576451100409e-06,0.0
2,2,2.0,3.0,10.0,15.0,20224,0.21771162748336792,0.22147291898727417,0.00376129150390625,0.00376129150390625,0.0029019553195589235
2,3,2.0,3.0,15.0,20.0,20210,0.6566551327705383,0.6555887460708618,-0.0010663866996765137,0.0010663866996765137,0.003340033283415282
2,4,2.0,3.0,20.0,25.0,20618,0.7340188026428223,0.7334880232810974,-0.0005307793617248535,0.0005307793617248535,0.003077200491983581
2,5,2.0,3.0,25.0,30.0,20158,0.7647584080696106,0.7678134441375732,0.0030550360679626465,0.0030550360679626465,0.0029874143629022155
2,6,2.0,3.0,30.0,35.0,13552,0.7710301280021667,0.7749114036560059,0.0038812756538391113,0.0038812756538391113,0.003609301386972533
3,1,3.0,4.0,5.0,10.0,16372,0.001099438057281077,0.001223024446517229,0.00012358638923615217,0.00012358638923615217,0.0002589975427889912
3,2,3.0,4.0,10.0,15.0,20453,0.4003813564777374,0.3961900770664215,-0.004191279411315918,0.004191279411315918,0.0034260679953705786
3,3,3.0,4.0,15.0,20.0,20348,0.6739237308502197,0.6771405935287476,0.003216862678527832,0.003216862678527832,0.00328627654301315
3,4,3.0,4.0,20.0,25.0,20192,0.7483657002449036,0.743563711643219,-0.00480198860168457,0.00480198860168457,0.0030538815463441865
3,5,3.0,4.0,25.0,30.0,18247,0.7704280018806458,0.7729912400245667,0.0025632381439208984,0.0025632381439208984,0.0031133629343249895
3,6,3.0,4.0,30.0,35.0,1517,0.7916941046714783,0.7827662825584412,-0.00892782211303711,0.00892782211303711,0.010426455540990726
4,1,4.0,5.0,5.0,10.0,16292,0.02848023548722267,0.026038048788905144,-0.0024421866983175278,0.0024421866983175278,0.0013031980077857028
4,2,4.0,5.0,10.0,15.0,20413,0.4869445860385895,0.4845455586910248,-0.0023990273475646973,0.0023990273475646973,0.00349839215482641
4,3,4.0,5.0,15.0,20.0,20259,0.6880398988723755,0.6871157884597778,-0.0009241104125976562,0.0009241104125976562,0.00325497258954182
4,4,4.0,5.0,20.0,25.0,20250,0.7480987906455994,0.7454296946525574,-0.002669095993041992,0.002669095993041992,0.0030505776832414734
4,5,4.0,5.0,25.0,30.0,5976,0.7518407106399536,0.7672640681266785,0.015423357486724854,0.015423357486724854,0.005587568921262625
5,1,5.0,6.0,5.0,10.0,16050,0.08056075125932693,0.07414792478084564,-0.006412826478481293,0.006412826478481293,0.002148254621778169
5,2,5.0,6.0,10.0,15.0,20039,0.5331104397773743,0.5325766205787659,-0.0005338191986083984,0.0005338191986083984,0.0035243388116031706
5,3,5.0,6.0,15.0,20.0,20389,0.6937564611434937,0.6910383105278015,-0.0027181506156921387,0.0027181506156921387,0.0032280408713706954
5,4,5.0,6.0,20.0,25.0,12436,0.7396268844604492,0.7446284890174866,0.0050016045570373535,0.0050016045570373535,0.00393517506418271
6,1,6.0,7.0,5.0,10.0,16276,0.12496928125619888,0.11602690070867538,-0.008942380547523499,0.008942380547523499,0.0025920265473039585
6,2,6.0,7.0,10.0,15.0,20235,0.5599209070205688,0.5555776357650757,-0.004343271255493164,0.004343271255493164,0.0034896117138740147
6,3,6.0,7.0,15.0,20.0,17682,0.7028051018714905,0.6998720765113831,-0.002933025360107422,0.002933025360107422,0.0034369438298662708
6,4,6.0,7.0,20.0,25.0,1096,0.7271897792816162,0.7407597899436951,0.013570010662078857,0.013570010662078857,0.013453922588600177
7,1,7.0,8.0,5.0,10.0,16323,0.16234761476516724,0.15541914105415344,-0.006928473711013794,0.006928473711013794,0.002886389131644439
7,2,7.0,8.0,10.0,15.0,20450,0.5823960900306702,0.5756163001060486,-0.006779789924621582,0.006779789924621582,0.0034486160673285397
7,3,7.0,8.0,15.0,20.0,5172,0.6854215264320374,0.6784658432006836,-0.00695568323135376,0.00695568323135376,0.006456752095960905
8,1,8.0,9.0,5.0,10.0,16166,0.1972658634185791,0.1906159520149231,-0.006649911403656006,0.006649911403656006,0.0031297564820660755
8,2,8.0,9.0,10.0,15.0,11381,0.5520604252815247,0.5487908124923706,-0.0032696127891540527,0.0032696127891540527,0.004661361800326054
9,1,9.0,11.0,5.0,10.0,14730,0.17637474834918976,0.17174938321113586,-0.004625365138053894,0.004625365138053894,0.003140376051419302
9,2,9.0,11.0,10.0,15.0,762,0.49475064873695374,0.49270838499069214,-0.0020422637462615967,0.0020422637462615967,0.0181120906352692
