trial,validation_bce,best_epoch,parameters,batch_size,dropout,hidden_layers,hidden_width,learning_rate,lr_schedule,weight_decay
0,0.22730639908312664,34,201217,16384,0.03,4,256,0.001,none,1e-05
1,0.22336892113273227,40,2967553,8192,0.14181331057099705,6,768,0.002958454985358802,cosine,0.00014951169938564305
2,0.22423302297266104,40,1783297,16384,0.060929322614350925,4,768,0.001571771681723073,cosine,1.0467134938297988e-06
3,0.22617824751104118,40,51457,32768,0.009859317419267244,4,128,0.0006882653447817331,cosine,3.063187169715113e-06
4,0.22824192246497624,27,333825,32768,0.10971924043944133,6,256,0.0005713081019420706,cosine,4.438332172197962e-05
5,0.22468899806284448,40,1783297,8192,0.10882781315590047,4,768,0.000596153329551837,cosine,2.5588906777280195e-05
6,0.2297931324250474,40,1783297,32768,0.11448198118498969,4,768,0.0021616463791515046,none,5.9500435133052165e-05
7,0.22603731180607095,40,1783297,8192,0.12066167136247964,4,768,0.0015761037549338374,none,7.362036869671779e-06
8,0.22706276785042692,34,84993,16384,0.13686554014064414,6,128,0.0010337071923432971,none,6.622700793043125e-06
9,0.22479435593327068,40,531969,8192,0.1224141892789043,3,512,0.002807214378942433,cosine,0.00017902395346493504
10,0.22345512349789598,40,2967553,8192,0.12261967568776799,6,768,0.002082068322206225,cosine,6.297668341425482e-05
11,0.22417208025540641,40,2967553,16384,0.14191436570985896,6,768,0.0014898169310005628,cosine,8.222518718570358e-05
12,0.2245744030380359,39,84993,8192,0.1488469713663945,6,128,0.00251057540190995,cosine,7.022341374860541e-05
13,0.22343065166654427,40,2967553,8192,0.1350585414511248,6,768,0.0024701930237286786,cosine,4.9289566641413263e-05
14,0.2233824803724984,40,333825,8192,0.04969372059181279,6,256,0.002155832970843597,cosine,0.00028717288847038475
15,0.22322029679621658,40,333825,8192,0.058262072218583275,6,256,0.0030088280061819034,cosine,0.00010983038541611829
