bin_index,probability_low,probability_high,n,mean_predicted_probability,observed_trigger_rate,absolute_calibration_gap
0,0.0,0.05,200321,0.002346629975363612,0.002076667034998536,0.00026996294036507607
1,0.05,0.1,5715,0.07152891159057617,0.06456693261861801,0.00696197897195816
2,0.1,0.15000000000000002,3562,0.12402957677841187,0.11650758236646652,0.007521994411945343
3,0.15000000000000002,0.2,2803,0.17390669882297516,0.18016411364078522,0.006257414817810059
4,0.2,0.25,2405,0.2246265858411789,0.22120581567287445,0.0034207701683044434
5,0.25,0.30000000000000004,2336,0.27507922053337097,0.2906678020954132,0.015588581562042236
6,0.30000000000000004,0.35000000000000003,2384,0.3248887360095978,0.32298657298088074,0.001902163028717041
7,0.35000000000000003,0.4,2361,0.37496820092201233,0.3706056773662567,0.004362523555755615
8,0.4,0.45,2440,0.4249044954776764,0.4229508340358734,0.0019536614418029785
9,0.45,0.5,2712,0.47541868686676025,0.491150438785553,0.015731751918792725
10,0.5,0.55,2874,0.5254787802696228,0.5288795828819275,0.0034008026123046875
11,0.55,0.6000000000000001,3146,0.5752362608909607,0.5734265446662903,0.0018097162246704102
12,0.6000000000000001,0.65,3291,0.6249850988388062,0.6262534260749817,0.0012683272361755371
13,0.65,0.7000000000000001,2845,0.6751611828804016,0.6752196550369263,5.84721565246582e-05
14,0.7000000000000001,0.75,2981,0.7258167266845703,0.7356591820716858,0.009842455387115479
15,0.75,0.8,3595,0.7764929533004761,0.7874826192855835,0.010989665985107422
16,0.8,0.8500000000000001,8503,0.8305239081382751,0.828883945941925,0.0016399621963500977
17,0.8500000000000001,0.9,115931,0.8854856491088867,0.8828958868980408,0.0025897622108459473
18,0.9,0.9500000000000001,130233,0.9127938151359558,0.911819577217102,0.0009742379188537598
