p_bin,theta_bin,p_low_gev,p_high_gev,theta_low_deg,theta_high_deg,n,observed_efficiency,fm_mean_probability,signed_difference_fm_minus_mc,absolute_difference,observed_binomial_standard_error
2,1,2.0,3.0,5.0,10.0,16170,0.0,3.069627837248845e-06,3.069627837248845e-06,3.069627837248845e-06,0.0
2,2,2.0,3.0,10.0,15.0,20224,0.21771162748336792,0.22056354582309723,0.002851918339729309,0.002851918339729309,0.0029019553195589235
2,3,2.0,3.0,15.0,20.0,20210,0.6566551327705383,0.657853364944458,0.0011982321739196777,0.0011982321739196777,0.003340033283415282
2,4,2.0,3.0,20.0,25.0,20618,0.7340188026428223,0.7363372445106506,0.002318441867828369,0.002318441867828369,0.003077200491983581
2,5,2.0,3.0,25.0,30.0,20158,0.7647584080696106,0.766575276851654,0.001816868782043457,0.001816868782043457,0.0029874143629022155
2,6,2.0,3.0,30.0,35.0,13552,0.7710301280021667,0.7737357020378113,0.0027055740356445312,0.0027055740356445312,0.003609301386972533
3,1,3.0,4.0,5.0,10.0,16372,0.001099438057281077,0.0012338937958702445,0.0001344557385891676,0.0001344557385891676,0.0002589975427889912
3,2,3.0,4.0,10.0,15.0,20453,0.4003813564777374,0.3996734619140625,-0.0007078945636749268,0.0007078945636749268,0.0034260679953705786
3,3,3.0,4.0,15.0,20.0,20348,0.6739237308502197,0.6806601881980896,0.006736457347869873,0.006736457347869873,0.00328627654301315
3,4,3.0,4.0,20.0,25.0,20192,0.7483657002449036,0.7452878355979919,-0.003077864646911621,0.003077864646911621,0.0030538815463441865
3,5,3.0,4.0,25.0,30.0,18247,0.7704280018806458,0.7706361413002014,0.00020813941955566406,0.00020813941955566406,0.0031133629343249895
3,6,3.0,4.0,30.0,35.0,1517,0.7916941046714783,0.7843992710113525,-0.007294833660125732,0.007294833660125732,0.010426455540990726
4,1,4.0,5.0,5.0,10.0,16292,0.02848023548722267,0.028146198019385338,-0.0003340374678373337,0.0003340374678373337,0.0013031980077857028
4,2,4.0,5.0,10.0,15.0,20413,0.4869445860385895,0.48860201239585876,0.0016574263572692871,0.0016574263572692871,0.00349839215482641
4,3,4.0,5.0,15.0,20.0,20259,0.6880398988723755,0.6901381611824036,0.002098262310028076,0.002098262310028076,0.00325497258954182
4,4,4.0,5.0,20.0,25.0,20250,0.7480987906455994,0.7440718412399292,-0.004026949405670166,0.004026949405670166,0.0030505776832414734
4,5,4.0,5.0,25.0,30.0,5976,0.7518407106399536,0.7621299028396606,0.010289192199707031,0.010289192199707031,0.005587568921262625
5,1,5.0,6.0,5.0,10.0,16050,0.08056075125932693,0.0794479250907898,-0.00111282616853714,0.00111282616853714,0.002148254621778169
5,2,5.0,6.0,10.0,15.0,20039,0.5331104397773743,0.5373247861862183,0.004214346408843994,0.004214346408843994,0.0035243388116031706
5,3,5.0,6.0,15.0,20.0,20389,0.6937564611434937,0.6936858892440796,-7.05718994140625e-05,7.05718994140625e-05,0.0032280408713706954
5,4,5.0,6.0,20.0,25.0,12436,0.7396268844604492,0.7422316074371338,0.0026047229766845703,0.0026047229766845703,0.00393517506418271
6,1,6.0,7.0,5.0,10.0,16276,0.12496928125619888,0.12241304665803909,-0.00255623459815979,0.00255623459815979,0.0025920265473039585
6,2,6.0,7.0,10.0,15.0,20235,0.5599209070205688,0.5606504678726196,0.0007295608520507812,0.0007295608520507812,0.0034896117138740147
6,3,6.0,7.0,15.0,20.0,17682,0.7028051018714905,0.7036322355270386,0.0008271336555480957,0.0008271336555480957,0.0034369438298662708
6,4,6.0,7.0,20.0,25.0,1096,0.7271897792816162,0.7406813502311707,0.013491570949554443,0.013491570949554443,0.013453922588600177
7,1,7.0,8.0,5.0,10.0,16323,0.16234761476516724,0.16287198662757874,0.000524371862411499,0.000524371862411499,0.002886389131644439
7,2,7.0,8.0,10.0,15.0,20450,0.5823960900306702,0.5811477303504944,-0.0012483596801757812,0.0012483596801757812,0.0034486160673285397
7,3,7.0,8.0,15.0,20.0,5172,0.6854215264320374,0.6828715205192566,-0.0025500059127807617,0.0025500059127807617,0.006456752095960905
8,1,8.0,9.0,5.0,10.0,16166,0.1972658634185791,0.19791452586650848,0.0006486624479293823,0.0006486624479293823,0.0031297564820660755
8,2,8.0,9.0,10.0,15.0,11381,0.5520604252815247,0.5527579188346863,0.0006974935531616211,0.0006974935531616211,0.004661361800326054
9,1,9.0,11.0,5.0,10.0,14730,0.17637474834918976,0.1773294359445572,0.0009546875953674316,0.0009546875953674316,0.003140376051419302
9,2,9.0,11.0,10.0,15.0,762,0.49475064873695374,0.499936044216156,0.0051853954792022705,0.0051853954792022705,0.0181120906352692
